GENEID	gene	e14.5	e17.5	p0	p3	p7	p10	p14	p21
ENSMUSG00000000001	Gnai3	18235.3	13480.71	14310.57	7942.46	8467.42	5982.37	4572.53	3783.87
ENSMUSG00000000028	Cdc45	792.03	753.79	848.52	10.78	48.98	93.48	91.33	81.12
ENSMUSG00000000037	Scml2	73.05	82.97	223.67	98.26	17.64	34.38	23.21	6.37
ENSMUSG00000000049	Apoh	0.74	1.5	0.53	9.24	5.28	4.74	15.78	19.47
ENSMUSG00000000056	Narf	9094.41	10826.0	6904.29	12377.12	12314.14	12084.35	10786.06	8952.71
ENSMUSG00000000058	Cav2	137.43	180.98	196.28	302.81	361.89	789.8	2384.97	3065.07
ENSMUSG00000000078	Klf6	5632.9	5406.09	6181.0	3408.79	3452.98	2684.54	2575.15	2675.86
ENSMUSG00000000085	Scmh1	371.94	364.17	336.08	548.32	480.44	487.91	504.78	495.98
ENSMUSG00000000088	Cox5a	4412.72	4570.55	4158.72	4896.22	5120.25	6145.78	6067.41	5317.2
ENSMUSG00000000093	Tbx2	3616.87	5367.66	4842.05	4318.6	4622.77	3759.29	2261.18	2054.81
ENSMUSG00000000094	Tbx4	6.45	4.26	4.88	4.21	1.91	8.29	8.3	4.12
ENSMUSG00000000120	Ngfr	3776.87	2613.73	1703.13	1621.4	1731.87	1284.7	1772.4	2149.85
ENSMUSG00000000125	Wnt3	122.56	239.37	206.83	132.69	101.21	71.05	30.16	11.76
ENSMUSG00000000126	Wnt9a	30.01	54.08	65.22	156.91	119.95	110.13	115.02	116.61
ENSMUSG00000000127	Fer	713.7	732.87	532.35	829.46	912.26	965.26	1089.05	1057.96
ENSMUSG00000000131	Xpo6	5787.22	4123.08	3000.7	2474.12	2544.33	2162.34	2044.5	2274.9
ENSMUSG00000000134	Tfe3	825.44	940.0	889.2	1069.24	1294.0	1020.77	1135.24	1107.15
ENSMUSG00000000142	Axin2	44.17	67.52	86.35	48.99	135.96	71.02	99.55	159.37
ENSMUSG00000000148	Brat1	295.14	220.51	173.66	261.67	310.31	199.01	337.56	299.98
ENSMUSG00000000149	Gna12	6922.72	7097.21	6539.54	4636.21	5072.0	3317.82	2620.82	2777.21
ENSMUSG00000000167	Pih1d2	40.43	63.39	56.96	49.41	62.02	90.03	67.32	46.15
ENSMUSG00000000168	Dlat	3538.54	3631.39	4097.56	5403.87	5433.97	5913.71	6378.41	6334.09
ENSMUSG00000000171	Sdhd	5668.46	4804.77	5579.08	6247.53	5774.58	6733.67	4614.16	3630.95
ENSMUSG00000000182	Fgf23	3.51	4.98	8.64	7.13	6.06	1.18	4.6	7.67
ENSMUSG00000000184	Ccnd2	33.52	7.02	3.27	8.58	3.71	11.85	5.42	4.87
