GENEID	gene	p10.e_het	p10.e_hom	p10.k_het	p10.k_hom	p10.r_hom	p10.wt_hom	p21.e_het	p21.e_hom	p21.k_het	p21.k_hom	p21.r_hom	p21.wt_hom
ENSMUSG00000000001	Gnai3	724.33	729.33	1008.33	1221.33	1071	1133.67	510	656	830	843.67	833	714.67
ENSMUSG00000000028	Cdc45	52.33	32	27.33	34.67	57.67	40.33						
ENSMUSG00000000037	Scml2	20	9.67	21.67	13	11.33	5.67						
ENSMUSG00000000056	Narf	2193	2195.33	2872.67	2883	2584	2526.67	1521.33	1971.33	1823.67	2175.33	1907	2095.33
ENSMUSG00000000058	Cav2	217	222.33	168	567.67	197.33	116.33	395.67	497.67	459.33	784.33	486.33	495
ENSMUSG00000000078	Klf6	289.33	268	490	514.33	567.33	400.67	317.33	472.33	657	528.67	573.67	482.67
ENSMUSG00000000085	Scmh1	500	440.67	529.33	637	882.33	524.67	630.33	721.33	884.33	850.67	724	683.33
ENSMUSG00000000088	Cox5a	1220.33	767.67	786.33	824.33	1032	909.33	694.67	807.33	707.67	920.33	949	1001
ENSMUSG00000000093	Tbx2	1651.33	1095.33	2078	1324	2469.33	2135.33	1098.33	1218.67	1193	1215.67	1494.67	1496.67
ENSMUSG00000000120	Ngfr	328.67	192.67	400.67	725	373	283.67	320.67	519.67	388.33	733.33	516	574
ENSMUSG00000000125	Wnt3	34.67	27.33	28.33	39.33	38.33	44.67	10.67	5.33	8	35.67	9.33	6.67
ENSMUSG00000000126	Wnt9a	74	289.67	54.67	38.67	269.67	70.33	24.67	264.33	50	33.67	285.33	42
ENSMUSG00000000127	Fer	137	157	228.33	202.33	248.67	205.67	185	192	243.33	250	207	255
ENSMUSG00000000131	Xpo6	1389.67	1707.33	1758	1884.33	2099.67	2044.33	1756.33	1740	2321	1634.67	1969.33	2254
ENSMUSG00000000134	Tfe3	606.33	623	621.33	509.33	737.67	593.67	795	1014.33	792	739.67	854	740.67
ENSMUSG00000000142	Axin2	60	86	46	81	93.67	58	143.67	135.67	113	95	81	96.33
ENSMUSG00000000148	Brat1	250.33	298	263	311	289	312.67	289.33	234.33	200.67	283.67	242	255.67
ENSMUSG00000000149	Gna12	759.33	591.33	857	901	770.33	962.67	445	694	469	694	628.33	626.33
ENSMUSG00000000167	Pih1d2	54	49.67	47	42.33	50.67	46.67	55.67	49.67	71	33.33	40.67	68.67
ENSMUSG00000000168	Dlat	1178.67	1255	1383.33	1396.33	1279.67	1292.33	992.33	1345.67	1102.33	1323.33	1424	1324.33
ENSMUSG00000000171	Sdhd	2057.67	1610.67	1302.67	1605.67	1141.67	1595.33	522.67	812.67	676.33	750.33	771.67	711.67
ENSMUSG00000000183	Fgf6	12.67	14.67	12.67	9	10	14.33						
ENSMUSG00000000194	Gpr107	1241.33	1184.67	1589.67	1345	1401.67	1345.33	1159.33	1363.33	1520.67	1590.67	1333	1500.33
ENSMUSG00000000197	Nalcn	443	423	687.67	930.67	1248.67	564.67	1029	1394	1275.33	1598.67	1762	1644
ENSMUSG00000000202	Btbd17	442	529	391.67	349	400.33	686.67	26.33	155	105.33	131	47.67	27
ENSMUSG00000000214	Th	41.67	104	102.67	452	24	25.67	56.67	88.67	179	1605.67	54	54.67
ENSMUSG00000000223	Drp2	135	164.67	183.33	201.67	329.33	192.33	265	257.67	296	305.33	317.67	316.67
ENSMUSG00000000244	Tspan32	8.67	9	8.67	9	10	11						
ENSMUSG00000000247	Lhx2	706	477	825	1073.67	825	818.33	493.67	724.67	559.33	811.67	823.33	720.67
ENSMUSG00000000263	Glra1	56.67	56.67	38.33	50	94.67	31.67	244.67	274	268	139	307.33	397
ENSMUSG00000000266	Mid2	157.67	184.67	442.33	363	451.67	226.67	287	343.33	1192	1204	756.33	438
ENSMUSG00000000275	Trim25	364.33	471.67	488	575.33	477.67	502.33	490.67	556.67	514	704	504.67	530.33
ENSMUSG00000000276	Dgke	4028	5117	2874.67	2147	3230	3494	5865	6339	3449.67	3261.33	3622.67	5169.67
ENSMUSG00000000278	Scpep1	239.67	150	241.67	324	210	275.33	146	221	222	216.33	316	239.33
ENSMUSG00000000282	Mnt	878.67	846.33	1180	942	959	1025.67	910.67	919.67	1076.33	1062	938.33	1138.33
ENSMUSG00000000295	Hddc2	36	37	25	30.67	25.33	38.33	33	33.67	31.33	24.33	21.67	30.67
ENSMUSG00000000296	Tpd52l1	33.33	24.67	30.67	55	26	34.67	15.33	17	19.33	50.33	30	17.67
ENSMUSG00000000301	Pemt	11.67	16.33	12.67	20	12.67	23	8.67	10.33	12	20.67	15	11
ENSMUSG00000000305	Cdh4	26.33	23	15	16.67	24	27.33	22	18.33	31.67	20.67	28.33	25.33
ENSMUSG00000000308	Ckmt1	442.67	374.33	17	13.33	58.33	78.67	450.67	367	31	26	56	178
ENSMUSG00000000320	Alox12	23.33	25.33	15.67	20.33	29	18	31	28.67	40.33	24.67	29	34
ENSMUSG00000000325	Arvcf	340.67	294.33	459.33	608	510.67	475.67	310.67	523.67	522.33	999.33	778	489.33
ENSMUSG00000000326	Comt	291.33	138.67	174.67	262	251.33	145.67	230.67	240.33	258	281.33	279.67	286.33
ENSMUSG00000000339	Rtca	89	74.67	95	89	76.33	83.67	60	54.67	63.33	62.67	45.33	54
ENSMUSG00000000346	Dazap2	1180.33	849.33	1489.67	1611.67	1884.67	1596.67	1089	1493.67	1878.67	2156.67	1957.33	1816.33
ENSMUSG00000000355	Mcts1	898.67	897	541	646.33	622.33	735.33	608	759	556.67	455.67	470	455.33
ENSMUSG00000000365	Rnf17	8.33	18.67	8	12	13.33	13.33	13.33	12.67	14.67	15.33	12.33	18
ENSMUSG00000000374	Trappc10	1145	1245.33	1448	1374.33	1728	1466.67	1359.33	1664	1637	1784.67	1707.33	1866.33
ENSMUSG00000000378	Ccm2	79.33	67	98	52.33	97.67	90.67	48	48.67	90	43.33	52	56.33
ENSMUSG00000000384	Tbrg4	344	327.67	261.33	262	333.33	283	335.67	368	395.67	271.33	313.33	320.67
ENSMUSG00000000386	Mx1	66	112.33	61.67	93.33	111.33	85.33	132.67	116.33	146.33	91.67	96.33	98
ENSMUSG00000000392	Fap	55.33	25.33	69.33	84.33	27.33	44.67	25.67	19	38.33	38	58.33	34
ENSMUSG00000000399	Ndufa9	2552.33	1872	1573.33	2075.67	1151	1613.33	820	1038.67	1009.67	1263.33	1092.33	1104.33
ENSMUSG00000000402	Egfl6	25.67	21.33	36.67	31.67	66.33	32.67	23	33.33	32.67	29.33	38.67	32.67
ENSMUSG00000000409	Lck	12	10.33	14.67	26.33	21.33	17.67	6	12.67	12.67	13.33	13	8
ENSMUSG00000000416	Cttnbp2	472	563.33	587.67	576.67	931.33	532.67	873.67	879.67	993	937	986.33	1100.33
ENSMUSG00000000420	Galnt1	1095	1061.33	2077	1995.67	1235	1447	699.33	858.33	1596	1518	1134.33	900.67
ENSMUSG00000000439	Mkrn2	612	524.67	620.33	618.67	785.33	711	743.33	645.33	843.67	769.33	774.33	879.67
ENSMUSG00000000441	Raf1	326.33	420	366	380	686.67	547	608.33	540.33	763.33	506	528.33	665.67
ENSMUSG00000000486	Septin1	47	36.67	34.33	37.33	61.67	50	41	44.67	38.33	38	39	42
ENSMUSG00000000489	Pdgfb	95.67	78.67	124.67	132.33	153.67	102	23.33	36.33	26.67	59	51.33	50.33
ENSMUSG00000000530	Acvrl1	95.33	105	60	76.33	78	70.67	89.33	70.33	28.67	46.67	25.33	76.33
ENSMUSG00000000531	Grasp	103.33	315	44	39	32.67	57.33	30	60	23.67	28.33	33.33	36.67
ENSMUSG00000000538	Tom1l2	1290.33	1207.33	783.67	823.67	800.33	885	1103.67	1079	976	806.33	803	883.33
ENSMUSG00000000552	Zfp385a	9764	5614	7734	5797.33	5509.33	5840	8191.33	10228.67	7053.67	10969.67	8241.67	10544.67
ENSMUSG00000000555	Itga5	87.33	87.67	103.33	138.67	133	129	67.67	97.33	88	166.33	88	70
ENSMUSG00000000560	Gabra2	304.67	234	260.33	354.33	463.33	240.67	385	404	437.33	306.67	502.33	516.33
ENSMUSG00000000561	Wdr77	279	330.33	317.33	377	377	435.33	259	300.67	304.67	285.67	285	313.33
ENSMUSG00000000562	Adora3	60.33	56.33	44.67	48.67	62	50.67	91.67	64	75.33	63.67	59	73.33
ENSMUSG00000000563	Atp5pb	5630	4201.67	3748.67	4740.67	2765	4169	1973.67	2472.33	2161.67	2643	2515.67	2627.67
ENSMUSG00000000567	Sox9	295.33	249.33	375	358.67	437.67	339	272.33	452.33	345.67	558	411.67	406.33
ENSMUSG00000000568	Hnrnpd	1748.67	1620	2049.67	2024	2785	2353.33	1809	2246.67	1934	2842.33	2471.67	2388
ENSMUSG00000000579	Dynlt1c	445	446.67	363.67	478.33	579.33	423.67	596.67	547	594	423	470.67	551.33
ENSMUSG00000000581	C1d	1251.33	1029	1164.67	1571.33	799.67	1234	485	563.67	617	702.33	639.67	606.67
ENSMUSG00000000594	Gm2a	471.33	284.67	472	692	490.67	451.67	268.67	372	370.33	653	609.33	497.67
