ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006397	mRNA processing	157/3787	462/23328	3.1095551874694e-21	1.9251256165623e-17	1.34332784098678e-17	App/Celf3/Srrm4/Prdx6/Dhx8/Snrpd3/Cdc40/Luc7l3/Papolb/Ddx39b/Pabpn1/Smu1/Htatsf1/Hnrnpc/Rbfox3/Lsm3/Hnrnpa2b1/Crnkl1/Celf4/Grsf1/Rnmt/Cstf2t/Cwc15/Gemin2/Srrm2/Scaf1/Zmat5/Cdc5l/Scnm1/Zc3h13/Snrpa/Prpf40a/Prmt9/Zc3h14/Mbnl2/Pnpt1/Sf3b1/Rbm5/Bcas2/Zc3h10/Leo1/Nono/Pcbp1/Rbm25/Snrpc/Ccar2/Celf2/Pnn/Snrpe/Cactin/Celf1/Pcf11/Pabpc1l/Magoh/Rbm26/Aqr/Rbm39/Cwc22/Cdk12/Mbnl1/Thoc2/Cpsf7/Rnpc3/Ptbp1/Ddx1/Wtap/Rbm42/Sf3b3/Strap/Prpf4b/Rbfox2/Cpsf4l/Prpf8/Spen/Bud13/Wdr33/Hnrnph1/Ddx39a/Raver2/Dhx15/Snrpd1/Snrnp35/Prpf19/Rest/Eftud2/Tsen2/Khdrbs3/Cpsf6/Cstf3/Prkrip1/Lsm8/Srsf1/Cwc25/Cpsf2/Zrsr1/Zcchc8/Ddx20/Sf3b5/Sf3b2/Cmtr1/Dhx9/Gpatch1/Prpf31/U2af2/Prmt5/Usp4/Cpeb3/Tcerg1/Sfpq/Tsen34/Hnrnpa1/Srpk2/Dyrk1a/Pan2/Slbp/Hnrnpu/Dhx38/Rrp1b/Scaf11/Luc7l/Rbm6/Hnrnpl/Ncbp2/Ccnt1/Sf1/Khsrp/Xab2/Celf6/Zfp473/Ncl/Gemin8/Ern1/Snrpa1/Snrnp70/Acin1/Snrpb/Adarb1/Ppie/Prmt7/Rbm15/Lsm4/Cirbp/Snrnp27/Mettl3/Cnot6l/Ddx5/Ctr9/Rbm8a/Srsf4/Raly/Hnrnpf/Prpf39/Zc3h3/Rprd1b/Ybx1/Alkbh5/Ahcyl1	157
GO:0022613	ribonucleoprotein complex biogenesis	137/3787	409/23328	4.40213399706588e-18	9.08453719194496e-15	6.33907295577487e-15	Rpl10/Celf3/Rpl7/Wdr12/Snrpd3/Ddx10/Kat2b/Heatr3/Luc7l3/Rcl1/Srfbp1/Riox2/Rps5/Ddx39b/Mpv17l2/Pih1d1/C1d/Rpf1/Eif3a/Helb/Heatr1/Xrcc5/Crnkl1/Mcts1/Celf4/Gemin2/Nufip1/Dcaf13/Rps27l/Ercc2/Zfp622/Lsg1/Ppan/Rps14/Wdr75/Chd7/Pop7/Sf3b1/Rbm5/Pa2g4/Nol6/Ltv1/Dhx30/Snrpc/Celf2/Nhp2/Snrpe/Celf1/Rrs1/Nip7/Mrpl36/Rsl24d1/Mbnl1/Cpsf7/Eif3d/Strap/Prpf8/Gnl2/Wdr46/Krr1/Snrpd1/Ddx54/Rrp15/Nsun5/Prpf19/Usp36/Cpsf6/Rsl1d1/Mterf4/Abt1/Srsf1/Eif2s3x/Riox1/Gtpbp4/Mphosph6/Ddx20/Rrp9/Wdr55/Tarbp2/Pten/Dhx9/Traf7/Mcts2/Prpf31/Prmt5/Usp4/Srpk2/Rpl14/Ngdn/Ddx3x/Rps2/Hsp90aa1/Ago2/Bysl/Rrp1b/Rpl23a/Nop58/Rpl26/Nol11/Scaf11/Luc7l/Utp3/Rps24/Mettl17/Xab2/Pin4/Celf6/Ncl/Rpl24/Gemin8/Rps19/Exosc4/Utp6/Rpp30/Rpl3/Mrpl11/Snrpb/Prmt7/Rpp25/Rpl38/Mrps11/Surf6/Rps6/Lsm4/Riok3/Nup88/Cul4a/Rps17/Rps7/Pes1/Rpl13a/Rpl10a/Prpf39/Drosha/Rplp0/Rps15/Eri3	137
GO:0007409	axonogenesis	149/3787	482/23328	4.67264932832877e-16	4.13262457024048e-13	2.88369215691147e-13	Rnf165/Olfm1/Rtn4rl1/Cdh2/Unc5c/Boc/App/Dst/Nrcam/Fzd3/Ephb3/Nfib/Skil/Nr2e1/Fxn/Sema3f/Flot1/Smo/Robo3/Map2/Cobl/Clasp2/Flrt3/Zeb2/Vcl/Sema3g/Alcam/Szt2/Numb/Lhx4/Lrp2/Apbb1/Kif13b/Trak2/Neurog2/Nefh/Fn1/Ptprm/Srf/Zswim4/Chn1/Arhgap35/Wnt3/Artn/Ttc8/Pafah1b1/Cdk5/Map6/Epha8/Ptch1/Disc1/Dcc/Robo2/Ncam1/Sipa1l1/Gbx2/Nin/Matn2/Brsk2/Spg20/Mark2/Auts2/Sema6a/Cdh4/Dpysl5/Ulk2/Trak1/Kif5c/Lgi1/Sema7a/Creb1/Lpar3/Evl/Dixdc1/Ablim1/Rab11a/Prdm8/Dab1/Ifrd1/Usp9x/Dpysl2/Efnb3/Als2/Stxbp5/Myh10/Plxnc1/Dclk1/Fezf1/Islr2/Fgfr3/Stmn1/Stk25/Map1s/Lrtm1/Rab8a/Prkca/Tubb3/Pak2/Mapt/Ccr5/Etv4/Gdnf/Gsk3b/Dscaml1/Zswim8/Pou4f2/Eif4g2/Zfyve27/Dscam/Nfasc/Rnf6/Abl1/Braf/Rufy3/Pitpna/Pten/Enah/Cntn2/Ryk/Plxna2/Rtn4/Hsp90aa1/Rab3a/Dnm2/Megf8/Rnd2/Ext1/Rpl24/Stxbp1/Epha10/Fezf2/Grcc10/Lrp4/Map1b/Adnp/Adarb1/Snap91/Top2b/Slit1/Vegfa/Sin3a/Vax2/Epha1/Pou4f3/Map3k13/Atp8a2/Adcy1/Raph1/Arhgap4	149
GO:0051656	establishment of organelle localization	125/3787	382/23328	9.79057754503171e-16	6.95469100937062e-13	4.85289374260719e-13	Clnk/Snca/Tacc2/Kash5/Agtpbp1/Map2/Map4/Rab27b/Wdr11/Pef1/Clasp2/Ykt6/Fyco1/Cenpq/Ap3m1/Mapk8/Chmp6/Exoc4/Trak2/Cplx2/Nefh/Actn4/D6Wsu163e/Tanc2/Pafah1b1/Cdk5/Cdc23/Map6/Tmed10/Spry1/Wipi1/Chmp4c/Chmp7/Ap3d1/Clmn/Trappc12/Gem/Mlh1/Zw10/Nup62/Lsg1/Bod1/Chmp5/Trak1/Kif5c/Kpnb1/Pcm1/Dtnbp1/Sar1b/Tac4/Actr10/Rab11a/Pex14/Ltv1/Arhgap21/Dpysl2/Bloc1s2/Pdcd10/Rrs1/Chmp4b/Sec16a/Myh10/5730455P16Rik/Rab11b/Sun1/F8a/Myh9/Ccdc186/Kif13a/Nectin2/Sar1a/Dync1h1/Stk25/Lat/Kif14/Mapt/Cenpc1/Chga/Sec16b/Preb/Ubb/Cenpf/Synj1/Borcs5/Madd/Nudc/Htt/Hnrnpu/Rab3a/Tbc1d23/Kif22/Myo1h/Dlg1/Dnm2/Incenp/Dnm3/Fer/Dctn1/Stxbp1/Myo5c/Clasp1/Myo1g/Klhl12/Map1b/Hook3/Cul3/Prkcz/Snap91/Slit1/Nup88/Gbf1/Tmem230/Tmem201/Arfgap2/Terf1/Hif1a/Rhot1/Sybu/Mad2l1/Spire2/Cep120/Rps15/Cenpa/Plk1/Llgl2	125
GO:0016050	vesicle organization	99/3787	275/23328	1.01101952970983e-15	6.95469100937062e-13	4.85289374260719e-13	Snca/Cd34/Cplx3/Stx6/Ccdc136/Doc2b/Anxa2/Trim9/Syt9/Nbeal2/Pef1/Zeb2/Clcn3/Sec23a/Fam160a2/Golph3/Vamp1/Cd2ap/Bet1/Chmp6/Ankfy1/Cplx2/Vamp4/Rab5b/Insig1/Stx8/Pafah1b1/Anxa1/Tbc1d4/Tmed10/Prkci/Chmp4c/Chmp7/Ap3d1/Usp8/Akt2/Rab7/Chmp5/Dtnbp1/Sar1b/Lyst/Creb1/Stx5a/Coro1c/Rab11a/Zdhhc2/Eea1/Als2/Chmp4b/Sec16a/P2rx7/Tsg101/Ptbp1/Snap25/Kif13a/Vps8/Syt7/Plekhj1/Nectin2/Sar1a/Sec22b/Rab8a/Vapb/Sec24c/AU040320/Sort1/C2cd5/Sec16b/Preb/Stam/Synj1/Aktip/Tgfbrap1/Tmcc1/Rab3a/Syt1/Sec24a/Ap2m1/Dnm2/Snx11/Dnm3/Stxbp1/Uvrag/Klhl12/Pikfyve/Hook3/Cul3/Syt2/Hps4/Snap91/Gbf1/Zfp385a/Arfgap2/Dlg4/Lamtor1/Stx3/Hook1/Vps18/Ankrd27	99
GO:0072594	establishment of protein localization to organelle	135/3787	426/23328	1.27558457979414e-15	7.89714413350552e-13	5.51052538471069e-13	Fam53b/Nfkbia/Trp53/Zfyve16/Kpna3/M6pr/Smo/Gsk3a/Phip/Tnpo3/Heatr3/Tspan17/Kpna6/Jak2/Dmap1/Hikeshi/Numb/Immp1l/Tomm34/Mff/Lrp2/Tpr/Cdk1/Pih1d1/Gsg1l/Sec62/Mbtps1/Get3/Pex16/Bcs1l/Epm2a/Pot1a/Timm21/Hspa4/Stat3/Ap3d1/Ncoa4/Pdcd5/Tram1/Txnip/Nup62/Ssr3/Nutf2/Rab7/Hsph1/Six3/Cfl1/Kpnb1/Usp46/Timm22/Nup50/Gcc2/Ap4m1/Tomm40/Vps37c/Rab11a/Pex14/Pex5/E2f3/Nedd4/Aip/Nup107/Wrap53/Cdkn1a/Chmp4b/Ddit3/Tsg101/Med1/Abra/Bnip3l/Snap25/Pex1/Nup85/Arntl/Apod/Tomm70a/Lamp5/Mapt/Ryr2/Mterf4/Sort1/Nup188/Moap1/Tomm7/Stam/Synj1/Vps37b/Srp68/Cct4/Prickle1/Fgf9/Nf1/Pacsin1/Sec63/Nxt1/Hsp90aa1/Jup/Vps37a/Ect2/Sirt2/Tomm40l/Ap2m1/Dnm2/Aifm1/Timm13/Chchd4/Ranbp2/Dnm3/Ift122/Ipo5/Pom121/Ppp3r1/Pex2/Nup155/Pex5l/Nup88/Caly/Sirt4/Nipbl/Pik3r1/Terf1/Nup35/Sh3glb1/Zfand6/Tnpo2/Ddx5/Fam53c/Kpna1/Agap3/Hk1/Tnpo1/Macf1/Pink1/Pmm1/Akap1	135
GO:0042176	regulation of protein catabolic process	127/3787	395/23328	2.62603844673413e-15	1.47798218397554e-12	1.03131691726286e-12	Snca/App/Clu/Trib1/Rnf144a/Agtpbp1/Ubxn1/Anxa2/Dnajb2/Gsk3a/Timp3/Tiparp/Svip/Rnf180/Usp5/Mapk8/Bbs7/Chmp6/Snx1/Ube3a/Azin1/Rnf217/Cdk5rap3/Socs5/Cblb/Derl2/Smarcc1/Epm2a/Rnf19b/Trem2/Fhit/Gclc/Os9/Disc1/Csnk2a1/Mad2l2/Mdm2/Bag6/Usp8/Rab7/Csnk1a1/Pias1/Gna12/Sox9/Psmf1/Usp13/Lrig2/Rnf41/Pithd1/Stx5a/Zdhhc2/Nkd1/Ndfip1/Caml/Psmd3/Nedd4/Ccar2/Oaz2/Phb/Usp14/Plk2/Commd1/Ufl1/Sf3b3/Rnf144b/Egln1/Vcp/Sec22b/Axin1/Dab2ip/Ppp2r3a/Rnf139/Hspbp1/Ubac2/Arntl/Uqcc2/Psmd1/Ric1/Gabarapl2/Smurf2/Gsk3b/Pin1/Atg4b/Trib2/Ubb/Lpcat1/Furin/Chek2/Pten/Tmtc3/Prickle1/Tmem259/Osbpl7/Glmn/Hsp90aa1/Fam122a/Btrc/Sirt2/Gba/Cyp51/Ube2j1/Rack1/Mfsd8/Araf/Dedd/Rnf19a/Ddb1/Oaz1/Banp/Anks1/Sumo3/Cst3/Adam9/Cul4a/Vip/Tmem67/Rps7/Pkd1/Mad2l1/Erlec1/Egf/Sufu/Nsf/Hmgcr/Adra2a/Adam8/Plk1	127
GO:0010498	proteasomal protein catabolic process	144/3787	470/23328	3.30563529001007e-15	1.50712364500323e-12	1.05165145314391e-12	Clu/Trib1/Rnf144a/Ubxn1/Trim9/Dnajb2/Tbl1xr1/Gsk3a/Trim3/Svip/Rnf180/Cd2ap/Usp5/Mapk8/Bbs7/Rnf217/Socs5/Derl2/Psmd6/Smarcc1/Epm2a/Wfs1/Cdc23/Rnf19b/Rbck1/Fbxo48/Trem2/Fhit/Gclc/Os9/Tmub2/Fbxl21/Mdm2/Bag6/Brsk2/Ube2d3/Psma1/Tmem129/Sel1l/Csnk1a1/Pias1/Gna12/Psmf1/Usp13/Rnf41/Pithd1/Caml/Rffl/Nedd4/Ube2i/Ccar2/Arrb1/Cul1/Ubxn4/Usp14/Ddit3/Plk2/Psmb8/Ufd1/Commd1/Uggt1/Ufl1/Edem3/Man1b1/Rnf144b/Vcp/Ube2s/Ubxn6/Axin1/Dab2ip/Rnf139/Hspbp1/Ubac2/Peli1/Psmb5/Arntl/Erlin1/Psmd1/Prpf19/Gabarapl2/Smurf2/Tbl1x/Rnf121/Kif14/Ube4b/Gsk3b/Fbxo9/Psmd8/Trib2/Nemf/Ubb/Ccdc47/Psmb7/Fbxo2/Dcaf11/Skp1/Tmtc3/Prickle1/Tmem259/Osbpl7/Amn1/Spop/Psmb3/Psmb6/Glmn/Bfar/Kctd5/Fam122a/Btrc/Rbx1/Sirt2/Rnf126/Gba/Jkamp/Anapc10/Ube2j1/Rack1/Psma3/Rnf216/Araf/Trim71/Rnf19a/Siah1a/Cul3/Ddb1/Fbxl19/Rnf5/Trim2/Dnajc18/Cul4a/Tmem67/Sirt1/Pkd1/Rmnd5b/Ppp2r5c/Erlec1/Agap3/Pcbp2/Get4/Skp2/Fbxl12/Rnf122/Plk1/Ubxn11	144
GO:0006913	nucleocytoplasmic transport	106/3787	308/23328	3.40812970926267e-15	1.50712364500323e-12	1.05165145314391e-12	Fam53b/Nfkbia/Trp53/Nrde2/Ptpn14/Kpna3/Smo/Calr/Phip/Tnpo3/Heatr3/Hspa9/Gas6/Kpna6/Ppm1a/Jak2/Dmap1/Hikeshi/Ddx39b/Pabpn1/Tpr/Cdk1/Xpo4/Zc3h11a/Mbtps1/Hnrnpa2b1/Cdk5/Epm2a/Zfp384/Nupl2/Stat3/Mdm2/Txnip/Nup62/Lsg1/Nutf2/Six3/Cfl1/Kpnb1/Ppp1r12a/Nup50/E2f3/Rab18/Nol6/Ltv1/Ywhae/Nup107/Cdkn1a/Rrs1/Eif5a/Rbm26/Ppp1cc/Thoc2/Mlxip/Med1/Abra/Strada/Nup85/Axin1/Ddx39a/Arntl/Apod/Cpsf6/Gsk3b/Gle1/Nup188/Nemf/Akap13/Dhx9/Prickle1/Fgf9/Nf1/Atxn1/Sarnp/Nxt1/Hsp90aa1/Jup/Ect2/Chchd4/Ranbp2/Eny2/Ankrd54/Ranbp3/Ctdspl2/Uhmk1/Ipo5/Pom121/Ppp3r1/Nup155/Nup88/Ddx19a/Poldip3/Pik3r1/Nup35/Tnpo2/Pkd1/Ddx5/Fam53c/Kpna1/Agap3/Tnpo1/Alkbh5/Rps15/Akap1/Ahcyl1/Rangap1	106
GO:0051169	nuclear transport	106/3787	308/23328	3.40812970926267e-15	1.50712364500323e-12	1.05165145314391e-12	Fam53b/Nfkbia/Trp53/Nrde2/Ptpn14/Kpna3/Smo/Calr/Phip/Tnpo3/Heatr3/Hspa9/Gas6/Kpna6/Ppm1a/Jak2/Dmap1/Hikeshi/Ddx39b/Pabpn1/Tpr/Cdk1/Xpo4/Zc3h11a/Mbtps1/Hnrnpa2b1/Cdk5/Epm2a/Zfp384/Nupl2/Stat3/Mdm2/Txnip/Nup62/Lsg1/Nutf2/Six3/Cfl1/Kpnb1/Ppp1r12a/Nup50/E2f3/Rab18/Nol6/Ltv1/Ywhae/Nup107/Cdkn1a/Rrs1/Eif5a/Rbm26/Ppp1cc/Thoc2/Mlxip/Med1/Abra/Strada/Nup85/Axin1/Ddx39a/Arntl/Apod/Cpsf6/Gsk3b/Gle1/Nup188/Nemf/Akap13/Dhx9/Prickle1/Fgf9/Nf1/Atxn1/Sarnp/Nxt1/Hsp90aa1/Jup/Ect2/Chchd4/Ranbp2/Eny2/Ankrd54/Ranbp3/Ctdspl2/Uhmk1/Ipo5/Pom121/Ppp3r1/Nup155/Nup88/Ddx19a/Poldip3/Pik3r1/Nup35/Tnpo2/Pkd1/Ddx5/Fam53c/Kpna1/Agap3/Tnpo1/Alkbh5/Rps15/Akap1/Ahcyl1/Rangap1	106
