gene	GENEID	rna_group
Kcnf1	ENSMUSG00000051726	Gained
Ppp2r3a	ENSMUSG00000043154	Gained
Dctn1	ENSMUSG00000031865	Gained
Mms22l	ENSMUSG00000045751	Gained
Eno1	ENSMUSG00000063524	Gained
Crcp	ENSMUSG00000025532	Gained
Vip	ENSMUSG00000019772	Gained
Pcdh15	ENSMUSG00000052613	Gained
Aipl1	ENSMUSG00000040554	Gained
Znrd1as	ENSMUSG00000036214	Gained
Fpgs	ENSMUSG00000009566	Gained
Fam114a2	ENSMUSG00000020523	Gained
Col26a1	ENSMUSG00000004415	Gained
Adrb1	ENSMUSG00000035283	Gained
C1qtnf4	ENSMUSG00000040794	Gained
Lyve1	ENSMUSG00000030787	Gained
Qpct	ENSMUSG00000024084	Gained
Eps8	ENSMUSG00000015766	Gained
Ift22	ENSMUSG00000007987	Gained
E130308A19Rik	ENSMUSG00000045071	Gained
Chga	ENSMUSG00000021194	Gained
Rec114	ENSMUSG00000074269	Gained
Cxadr	ENSMUSG00000022865	Gained
Clca1	ENSMUSG00000028255	Gained
Grm7	ENSMUSG00000056755	Gained
Ttll1	ENSMUSG00000022442	Gained
Nin	ENSMUSG00000021068	Gained
Stat1	ENSMUSG00000026104	Gained
Apol8	ENSMUSG00000056656	Gained
AU040320	ENSMUSG00000028830	Gained
Nfasc	ENSMUSG00000026442	Gained
Pkd1	ENSMUSG00000032855	Gained
Gm6525	ENSMUSG00000104043	Gained
Gnb3	ENSMUSG00000023439	Gained
Ccdc151	ENSMUSG00000039632	Gained
Slc16a6	ENSMUSG00000041920	Gained
Mmp2	ENSMUSG00000031740	Gained
Slc9a9	ENSMUSG00000031129	Gained
Lca5	ENSMUSG00000032258	Gained
Osbpl8	ENSMUSG00000020189	Gained
Slit1	ENSMUSG00000025020	Gained
Fam89a	ENSMUSG00000043068	Gained
Xrra1	ENSMUSG00000035211	Gained
Plpp2	ENSMUSG00000052151	Gained
Unc5c	ENSMUSG00000059921	Gained
Ascl1	ENSMUSG00000020052	Gained
Filip1	ENSMUSG00000034898	Gained
Gng13	ENSMUSG00000025739	Gained
Rnf38	ENSMUSG00000035696	Gained
Fabp12	ENSMUSG00000027530	Gained
Fbxl21	ENSMUSG00000035509	Gained
Kcnh6	ENSMUSG00000001901	Gained
Islr2	ENSMUSG00000051243	Gained
C1qtnf4	ENSMUSG00000110961	Gained
Tmem185a	ENSMUSG00000073139	Gained
Ubtd1	ENSMUSG00000025171	Gained
Cabp1	ENSMUSG00000029544	Gained
Mapk4	ENSMUSG00000024558	Gained
Dnah8	ENSMUSG00000033826	Gained
Zc2hc1c	ENSMUSG00000045064	Gained
Gm9195	ENSMUSG00000109446	Gained
Slc7a3	ENSMUSG00000031297	Gained
Ptgds	ENSMUSG00000015090	Gained
Ube2j1	ENSMUSG00000028277	Gained
Trib1	ENSMUSG00000032501	Gained
Vav2	ENSMUSG00000009621	Gained
Gstp1	ENSMUSG00000097830	Gained
Gxylt1	ENSMUSG00000036197	Gained
Sptb	ENSMUSG00000021061	Gained
Ptp4a2	ENSMUSG00000028788	Gained
Crxos	ENSMUSG00000074365	Gained
Cenpa	ENSMUSG00000029177	Gained
Myo5c	ENSMUSG00000033590	Gained
Smad5	ENSMUSG00000021540	Gained
Rangap1	ENSMUSG00000022391	Gained
Slc4a5	ENSMUSG00000068323	Gained
Rnf165	ENSMUSG00000025427	Gained
Psd2	ENSMUSG00000024347	Gained
Gpnmb	ENSMUSG00000029816	Gained
Ephb3	ENSMUSG00000005958	Gained
Eya3	ENSMUSG00000028886	Gained
Gsg1l2	ENSMUSG00000097886	Gained
Arhgap31	ENSMUSG00000022799	Gained
Scgn	ENSMUSG00000021337	Gained
Lmo1	ENSMUSG00000036111	Gained
Kcnab2	ENSMUSG00000028931	Gained
Them4	ENSMUSG00000028145	Gained
D630023F18Rik	ENSMUSG00000044816	Gained
Tcf19	ENSMUSG00000050410	Gained
Glcci1	ENSMUSG00000029638	Gained
Amh	ENSMUSG00000035262	Gained
C1qtnf4	ENSMUSG00000040794	Gained
Slc44a1	ENSMUSG00000028412	Gained
Casp7	ENSMUSG00000025076	Gained
Sncb	ENSMUSG00000034891	Lost
Scap	ENSMUSG00000032485	Lost
Arl10	ENSMUSG00000025870	Lost
Gstp1	ENSMUSG00000060803	Lost
Fgf9	ENSMUSG00000021974	Lost
Daglb	ENSMUSG00000039206	Lost
Tinagl1	ENSMUSG00000028776	Lost
Fbxo2	ENSMUSG00000041556	Lost
Ppp1r13b	ENSMUSG00000021285	Lost
Gnaz	ENSMUSG00000040009	Lost
Tmem108	ENSMUSG00000042757	Lost
Plk5	ENSMUSG00000035486	Lost
Sipa1l1	ENSMUSG00000042700	Lost
Cds1	ENSMUSG00000029330	Lost
Whrn	ENSMUSG00000039137	Lost
Clpb	ENSMUSG00000001829	Lost
Socs3	ENSMUSG00000053113	Lost
Hmgn2	ENSMUSG00000003038	Lost
Dll3	ENSMUSG00000003436	Lost
Prr7	ENSMUSG00000034686	Lost
Cadm1	ENSMUSG00000032076	Lost
Rnf144b	ENSMUSG00000038068	Lost
Bmp2k	ENSMUSG00000034663	Lost
Igsf11	ENSMUSG00000022790	Lost
Arhgap11a	ENSMUSG00000041219	Lost
Cdk1	ENSMUSG00000019942	Lost
Itga6	ENSMUSG00000027111	Lost
Polk	ENSMUSG00000021668	Lost
Rasgef1a	ENSMUSG00000030134	Lost
Kansl1l	ENSMUSG00000026004	Lost
Adra2a	ENSMUSG00000033717	Lost
1700003E16Rik	ENSMUSG00000030030	Lost
Meig1	ENSMUSG00000026650	Lost
Kcng4	ENSMUSG00000045246	Lost
Itpk1	ENSMUSG00000057963	Lost
Smarcc1	ENSMUSG00000032481	Lost
Tex15	ENSMUSG00000009628	Lost
Mxra7	ENSMUSG00000020814	Lost
Slc38a3	ENSMUSG00000010064	Lost
Togaram2	ENSMUSG00000045761	Lost
Cd4	ENSMUSG00000023274	Lost
Erich6	ENSMUSG00000070471	Lost
Rraga	ENSMUSG00000070934	Lost
C2cd4b	ENSMUSG00000091956	Lost
Tnfrsf13c	ENSMUSG00000068105	Lost
Gldc	ENSMUSG00000024827	Lost
Ppp1r16b	ENSMUSG00000037754	Lost
Gm37240	ENSMUSG00000102805	Lost
Tcf24	ENSMUSG00000099032	Lost
Ap2m1	ENSMUSG00000022841	Lost
Abcd2	ENSMUSG00000055782	Lost
Ece1	ENSMUSG00000057530	Lost
Col8a1	ENSMUSG00000068196	Lost
Lactbl1	ENSMUSG00000070683	Lost
Rax	ENSMUSG00000024518	Lost
Ocrl	ENSMUSG00000001173	Lost
Ttc34	ENSMUSG00000046637	Lost
Pias3	ENSMUSG00000028101	Lost
Hsbp1l1	ENSMUSG00000078963	Lost
Lpcat2	ENSMUSG00000033192	Lost
Cfap54	ENSMUSG00000020014	Lost
Prr15l	ENSMUSG00000047040	Lost
Nefh	ENSMUSG00000020396	Lost
Ect2	ENSMUSG00000027699	Lost
Ppp1r3c	ENSMUSG00000067279	Lost
Zfp365	ENSMUSG00000037855	Lost
Impg2	ENSMUSG00000035270	Lost
Txnip	ENSMUSG00000038393	Lost
Poc1a	ENSMUSG00000023345	Lost
Robo3	ENSMUSG00000032128	Lost
Ccdc155	ENSMUSG00000038292	Lost
Osgep	ENSMUSG00000006289	Lost
Ccr5	ENSMUSG00000079227	Lost
Naaa	ENSMUSG00000029413	Lost
Miga2	ENSMUSG00000026858	Lost
Sdk2	ENSMUSG00000041592	Lost
Armc2	ENSMUSG00000071324	Lost
Zfp691	ENSMUSG00000045268	Lost
Vash1	ENSMUSG00000021256	Lost
Tspan5	ENSMUSG00000028152	Lost
Ier5	ENSMUSG00000056708	Lost
Pabpc1l	ENSMUSG00000054582	Lost
Tdrd9	ENSMUSG00000054003	Lost
Iqsec3	ENSMUSG00000040797	Lost
Plekha2	ENSMUSG00000031557	Lost
Stom	ENSMUSG00000026880	Lost
Camk1g	ENSMUSG00000016179	Lost
Pink1	ENSMUSG00000028756	Lost
Idh1	ENSMUSG00000025950	Lost
Nos3	ENSMUSG00000028978	Lost
Rd3l	ENSMUSG00000091402	Lost
Nrcam	ENSMUSG00000020598	Lost
Ankrd2	ENSMUSG00000025172	Lost
Pomc	ENSMUSG00000020660	Lost
Foxo6	ENSMUSG00000052135	Lost
Tm6sf2	ENSMUSG00000036151	Lost
Hps3	ENSMUSG00000027615	Lost
Gstp1	ENSMUSG00000060803	Lost
Gngt2	ENSMUSG00000038811	Lost
Lcorl	ENSMUSG00000015882	Lost
Ccdc136	ENSMUSG00000029769	Lost
Th	ENSMUSG00000000214	Lost
Lrp4	ENSMUSG00000027253	Lost
Nxph3	ENSMUSG00000046719	Lost
Kdm1b	ENSMUSG00000038080	Lost
Acadm	ENSMUSG00000062908	Lost
Ovca2	ENSMUSG00000038268	Lost
Nfkbiz	ENSMUSG00000035356	Lost
Lrtm1	ENSMUSG00000045776	Lost
Sema7a	ENSMUSG00000038264	Lost
Cish	ENSMUSG00000032578	Lost
Nat14	ENSMUSG00000035285	Lost
Uqcrq	ENSMUSG00000044894	Lost
Gabrr2	ENSMUSG00000023267	Lost
Usp2	ENSMUSG00000032010	Lost
