gene	GENEID	Name	rna_group
Rnf19b	ENSMUSG00000028793	ring finger protein 19B(Rnf19b)	Gained
Hopx	ENSMUSG00000059325	HOP homeobox(Hopx)	Gained
Kcnj13	ENSMUSG00000079436	potassium inwardly-rectifying channel, subfamily J, member 13(Kcnj13)	Gained
Nol4l	ENSMUSG00000061411	nucleolar protein 4-like(Nol4l)	Gained
Kbtbd12	ENSMUSG00000033182	kelch repeat and BTB (POZ) domain containing 12(Kbtbd12)	Gained
Fiz1	ENSMUSG00000061374	Flt3 interacting zinc finger protein 1(Fiz1)	Gained
Cacna2d4	ENSMUSG00000041460	calcium channel, voltage-dependent, alpha 2/delta subunit 4(Cacna2d4)	Gained
Tm6sf2	ENSMUSG00000036151	transmembrane 6 superfamily member 2(Tm6sf2)	Gained
Kif22	ENSMUSG00000030677	kinesin family member 22(Kif22)	Gained
Prss38	ENSMUSG00000049291	protease, serine 38(Prss38)	Gained
Fam110a	ENSMUSG00000027459	family with sequence similarity 110, member A(Fam110a)	Gained
Ccdc136	ENSMUSG00000029769	coiled-coil domain containing 136(Ccdc136)	Gained
Pias3	ENSMUSG00000028101	protein inhibitor of activated STAT 3(Pias3)	Gained
Prom1	ENSMUSG00000029086	prominin 1(Prom1)	Gained
Bcl2l1	ENSMUSG00000007659	BCL2-like 1(Bcl2l1)	Gained
Tbc1d24	ENSMUSG00000036473	TBC1 domain family, member 24(Tbc1d24)	Gained
E2f6	ENSMUSG00000057469	E2F transcription factor 6(E2f6)	Gained
Glce	ENSMUSG00000032252	glucuronyl C5-epimerase(Glce)	Gained
Pitpnm1	ENSMUSG00000024851	phosphatidylinositol transfer protein, membrane-associated 1(Pitpnm1)	Gained
Pipox	ENSMUSG00000017453	pipecolic acid oxidase(Pipox)	Gained
Clic4	ENSMUSG00000037242	chloride intracellular channel 4 (mitochondrial)(Clic4)	Gained
Hnrnpf	ENSMUSG00000042079	heterogeneous nuclear ribonucleoprotein F(Hnrnpf)	Gained
Rspo2	ENSMUSG00000051920	R-spondin 2(Rspo2)	Gained
Dpf3	ENSMUSG00000021221	D4, zinc and double PHD fingers, family 3(Dpf3)	Gained
Tmem9	ENSMUSG00000026411	transmembrane protein 9(Tmem9)	Gained
Gm9195	ENSMUSG00000109446	predicted gene 9195(Gm9195)	Gained
Ppp1r3c	ENSMUSG00000067279	protein phosphatase 1, regulatory subunit 3C(Ppp1r3c)	Gained
Rd3	ENSMUSG00000049353	retinal degeneration 3(Rd3)	Gained
Dnajc6	ENSMUSG00000028528	DnaJ heat shock protein family (Hsp40) member C6(Dnajc6)	Gained
Zfp516	ENSMUSG00000058881	zinc finger protein 516(Zfp516)	Gained
Cpz	ENSMUSG00000036596	carboxypeptidase Z(Cpz)	Gained
Ptp4a3	ENSMUSG00000059895	protein tyrosine phosphatase 4a3(Ptp4a3)	Gained
Rbp3	ENSMUSG00000041534	retinol binding protein 3, interstitial(Rbp3)	Gained
Scap	ENSMUSG00000032485	SREBF chaperone(Scap)	Gained
Mef2b	ENSMUSG00000079033	myocyte enhancer factor 2B like(Mef2bl)	Gained
Mef2b	ENSMUSG00000079033	myocyte enhancer factor 2B(Mef2b)	Gained
Ubxn11	ENSMUSG00000012126	UBX domain protein 11(Ubxn11)	Gained
Acadvl	ENSMUSG00000018574	acyl-Coenzyme A dehydrogenase, very long chain(Acadvl)	Gained
Spata13	ENSMUSG00000021990	spermatogenesis associated 13(Spata13)	Gained
Nectin2	ENSMUSG00000062300	nectin cell adhesion molecule 2(Nectin2)	Gained
Meig1	ENSMUSG00000026650	meiosis expressed gene 1(Meig1)	Gained
Xrcc6	ENSMUSG00000022471	X-ray repair complementing defective repair in Chinese hamster cells 6(Xrcc6)	Gained
Cul4a	ENSMUSG00000031446	cullin 4A(Cul4a)	Gained
Fbxo2	ENSMUSG00000041556	F-box protein 2(Fbxo2)	Gained
Pitpnc1	ENSMUSG00000040430	phosphatidylinositol transfer protein, cytoplasmic 1(Pitpnc1)	Gained
Cdkl1	ENSMUSG00000020990	cyclin-dependent kinase-like 1 (CDC2-related kinase)(Cdkl1)	Gained
Grm6	ENSMUSG00000000617	glutamate receptor, metabotropic 6(Grm6)	Gained
Zfp703	ENSMUSG00000085795	zinc finger protein 703(Zfp703)	Gained
Ccdc151	ENSMUSG00000039632	outer dynein arm docking complex subunit 3(Odad3)	Gained
Engase	ENSMUSG00000033857	endo-beta-N-acetylglucosaminidase(Engase)	Gained
Zfp654	ENSMUSG00000047141	zinc finger protein 654(Zfp654)	Gained
Rtn4rl2	ENSMUSG00000050896	reticulon 4 receptor-like 2(Rtn4rl2)	Gained
Klhdc7a	ENSMUSG00000078234	kelch domain containing 7A(Klhdc7a)	Gained
Tmem215	ENSMUSG00000046593	transmembrane protein 215(Tmem215)	Gained
Peli2	ENSMUSG00000021846	pellino 2(Peli2)	Gained
Peli2	ENSMUSG00000021846	predicted gene 6498(Gm6498)	Gained
Tmem230	ENSMUSG00000027341	transmembrane protein 230(Tmem230)	Gained
Clu	ENSMUSG00000022037	clusterin(Clu)	Gained
Mms19	ENSMUSG00000025159	MMS19 cytosolic iron-sulfur assembly component(Mms19)	Gained
Rnd2	ENSMUSG00000001313	Rho family GTPase 2(Rnd2)	Gained
Socs3	ENSMUSG00000053113	suppressor of cytokine signaling 3(Socs3)	Gained
C2cd4b	ENSMUSG00000091956	C2 calcium-dependent domain containing 4B(C2cd4b)	Gained
Olfm1	ENSMUSG00000026833	olfactomedin 1(Olfm1)	Gained
Dmd	ENSMUSG00000045103	dystrophin, muscular dystrophy(Dmd)	Gained
Dusp16	ENSMUSG00000030203	dual specificity phosphatase 16(Dusp16)	Gained
Ccdc107	ENSMUSG00000028461	coiled-coil domain containing 107(Ccdc107)	Gained
Anxa1	ENSMUSG00000024659	annexin A1(Anxa1)	Gained
Strip2	ENSMUSG00000039629	striatin interacting protein 2(Strip2)	Gained
Fam71f2	ENSMUSG00000079652	family with sequence similarity 71, member F2(Fam71f2)	Gained
Podxl	ENSMUSG00000025608	podocalyxin-like(Podxl)	Gained
Crtc3	ENSMUSG00000030527	CREB regulated transcription coactivator 3(Crtc3)	Gained
Epha1	ENSMUSG00000029859	Eph receptor A1(Epha1)	Gained
Nxph3	ENSMUSG00000046719	neurexophilin 3(Nxph3)	Gained
Hsd17b12	ENSMUSG00000027195	hydroxysteroid (17-beta) dehydrogenase 12(Hsd17b12)	Gained
Casq1	ENSMUSG00000007122	calsequestrin 1(Casq1)	Gained
Atoh7	ENSMUSG00000036816	atonal bHLH transcription factor 7(Atoh7)	Gained
Rps6ka5	ENSMUSG00000021180	ribosomal protein S6 kinase, polypeptide 5(Rps6ka5)	Gained
Slc4a7	ENSMUSG00000021733	solute carrier family 4, sodium bicarbonate cotransporter, member 7(Slc4a7)	Gained
Xylt1	ENSMUSG00000030657	xylosyltransferase 1(Xylt1)	Gained
Htra1	ENSMUSG00000006205	HtrA serine peptidase 1(Htra1)	Gained
Dnaic2	ENSMUSG00000034706	dynein axonemal intermediate chain 2(Dnai2)	Gained
Rab33b	ENSMUSG00000027739	RAB33B, member RAS oncogene family(Rab33b)	Gained
Ifitm10	ENSMUSG00000045777	interferon induced transmembrane protein 10(Ifitm10)	Gained
Gsg1l	ENSMUSG00000046182	GSG1-like(Gsg1l)	Gained
Rbm47	ENSMUSG00000070780	RNA binding motif protein 47(Rbm47)	Gained
Zfp41	ENSMUSG00000047003	zinc finger protein 41(Zfp41)	Gained
Brf1	ENSMUSG00000011158	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit(Brf1)	Gained
Cd276	ENSMUSG00000035914	CD276 antigen(Cd276)	Gained
Tbc1d30	ENSMUSG00000052302	TBC1 domain family, member 30(Tbc1d30)	Gained
Adamtsl1	ENSMUSG00000066113	ADAMTS-like 1(Adamtsl1)	Gained
Pan2	ENSMUSG00000005682	PAN2 poly(A) specific ribonuclease subunit(Pan2)	Gained
Phf21b	ENSMUSG00000016624	PHD finger protein 21B(Phf21b)	Gained
Pkdcc	ENSMUSG00000024247	protein kinase domain containing, cytoplasmic(Pkdcc)	Gained
Nefh	ENSMUSG00000020396	neurofilament, heavy polypeptide(Nefh)	Gained
Glo1	ENSMUSG00000024026	glyoxalase 1(Glo1)	Gained
Poc1a	ENSMUSG00000023345	POC1 centriolar protein A(Poc1a)	Gained
Itga3	ENSMUSG00000001507	integrin alpha 3(Itga3)	Gained
