gene	GENEID	rna_group
Rnf19b	ENSMUSG00000028793	Gained
Hopx	ENSMUSG00000059325	Gained
Kcnj13	ENSMUSG00000079436	Gained
Nol4l	ENSMUSG00000061411	Gained
Kbtbd12	ENSMUSG00000033182	Gained
Fiz1	ENSMUSG00000061374	Gained
Cacna2d4	ENSMUSG00000041460	Gained
Tm6sf2	ENSMUSG00000036151	Gained
Kif22	ENSMUSG00000030677	Gained
Prss38	ENSMUSG00000049291	Gained
Fam110a	ENSMUSG00000027459	Gained
Ccdc136	ENSMUSG00000029769	Gained
Pias3	ENSMUSG00000028101	Gained
Prom1	ENSMUSG00000029086	Gained
Bcl2l1	ENSMUSG00000007659	Gained
Tbc1d24	ENSMUSG00000036473	Gained
E2f6	ENSMUSG00000057469	Gained
Glce	ENSMUSG00000032252	Gained
Pitpnm1	ENSMUSG00000024851	Gained
Pipox	ENSMUSG00000017453	Gained
Clic4	ENSMUSG00000037242	Gained
Hnrnpf	ENSMUSG00000042079	Gained
Rspo2	ENSMUSG00000051920	Gained
Dpf3	ENSMUSG00000021221	Gained
Tmem9	ENSMUSG00000026411	Gained
Gm9195	ENSMUSG00000109446	Gained
Ppp1r3c	ENSMUSG00000067279	Gained
Rd3	ENSMUSG00000049353	Gained
Dnajc6	ENSMUSG00000028528	Gained
Zfp516	ENSMUSG00000058881	Gained
Cpz	ENSMUSG00000036596	Gained
Ptp4a3	ENSMUSG00000059895	Gained
Rbp3	ENSMUSG00000041534	Gained
Scap	ENSMUSG00000032485	Gained
Mef2b	ENSMUSG00000079033	Gained
Kif11	ENSMUSG00000111220	Gained
Ubxn11	ENSMUSG00000012126	Gained
Acadvl	ENSMUSG00000018574	Gained
Spata13	ENSMUSG00000021990	Gained
Nectin2	ENSMUSG00000062300	Gained
Meig1	ENSMUSG00000026650	Gained
Xrcc6	ENSMUSG00000022471	Gained
Cul4a	ENSMUSG00000031446	Gained
Fbxo2	ENSMUSG00000041556	Gained
Pitpnc1	ENSMUSG00000040430	Gained
Cdkl1	ENSMUSG00000020990	Gained
Grm6	ENSMUSG00000000617	Gained
Zfp703	ENSMUSG00000085795	Gained
Ccdc151	ENSMUSG00000039632	Gained
Engase	ENSMUSG00000033857	Gained
Zfp654	ENSMUSG00000047141	Gained
Rtn4rl2	ENSMUSG00000050896	Gained
Klhdc7a	ENSMUSG00000078234	Gained
Tmem215	ENSMUSG00000046593	Gained
Pwwp2b	ENSMUSG00000110798	Gained
Peli2	ENSMUSG00000021846	Gained
Tmem230	ENSMUSG00000027341	Gained
Clu	ENSMUSG00000022037	Gained
Mms19	ENSMUSG00000025159	Gained
Rnd2	ENSMUSG00000001313	Gained
Socs3	ENSMUSG00000053113	Gained
C2cd4b	ENSMUSG00000091956	Gained
Olfm1	ENSMUSG00000026833	Gained
Dmd	ENSMUSG00000045103	Gained
Dusp16	ENSMUSG00000030203	Gained
Ccdc107	ENSMUSG00000028461	Gained
Anxa1	ENSMUSG00000024659	Gained
Strip2	ENSMUSG00000039629	Gained
Fam71f2	ENSMUSG00000079652	Gained
Podxl	ENSMUSG00000025608	Gained
Crtc3	ENSMUSG00000030527	Gained
Epha1	ENSMUSG00000029859	Gained
Nxph3	ENSMUSG00000046719	Gained
Hsd17b12	ENSMUSG00000027195	Gained
Casq1	ENSMUSG00000007122	Gained
Atoh7	ENSMUSG00000036816	Gained
Rps6ka5	ENSMUSG00000021180	Gained
Slc4a7	ENSMUSG00000021733	Gained
Xylt1	ENSMUSG00000030657	Gained
Htra1	ENSMUSG00000006205	Gained
Dnaic2	ENSMUSG00000034706	Gained
Rab33b	ENSMUSG00000027739	Gained
Ifitm10	ENSMUSG00000045777	Gained
Gsg1l	ENSMUSG00000046182	Gained
Rbm47	ENSMUSG00000070780	Gained
Zfp41	ENSMUSG00000047003	Gained
Rd3	ENSMUSG00000111723	Gained
Brf1	ENSMUSG00000011158	Gained
Cd276	ENSMUSG00000035914	Gained
Tbc1d30	ENSMUSG00000052302	Gained
Adamtsl1	ENSMUSG00000066113	Gained
Pan2	ENSMUSG00000005682	Gained
Phf21b	ENSMUSG00000016624	Gained
Pkdcc	ENSMUSG00000024247	Gained
Nefh	ENSMUSG00000020396	Gained
Glo1	ENSMUSG00000024026	Gained
Poc1a	ENSMUSG00000023345	Gained
Itga3	ENSMUSG00000001507	Gained
Rnf165	ENSMUSG00000025427	Gained
Glb1l2	ENSMUSG00000036395	Gained
Plcd1	ENSMUSG00000010660	Gained
Abhd17a	ENSMUSG00000003346	Gained
Grid1	ENSMUSG00000041078	Gained
Tac4	ENSMUSG00000020872	Gained
Ndrg3	ENSMUSG00000027634	Gained
Kcng4	ENSMUSG00000045246	Gained
Hook1	ENSMUSG00000028572	Gained
Uhrf1bp1l	ENSMUSG00000019951	Gained
Glis1	ENSMUSG00000034762	Gained
Mex3b	ENSMUSG00000057706	Gained
Mzb1	ENSMUSG00000024353	Gained
Slc23a2	ENSMUSG00000027340	Gained
Pwwp2b	ENSMUSG00000060260	Gained
Slc16a5	ENSMUSG00000045775	Gained
Pik3ap1	ENSMUSG00000025017	Gained
Ppa2	ENSMUSG00000028013	Gained
Epb41	ENSMUSG00000028906	Gained
Papolb	ENSMUSG00000074817	Gained
Slc1a5	ENSMUSG00000001918	Gained
Rab43	ENSMUSG00000030055	Gained
Timp3	ENSMUSG00000020044	Gained
Gng13	ENSMUSG00000025739	Gained
Ap1s1	ENSMUSG00000004849	Gained
Ece1	ENSMUSG00000057530	Gained
Acvr1	ENSMUSG00000026836	Gained
Ablim1	ENSMUSG00000025085	Gained
Hmgn2	ENSMUSG00000003038	Gained
Adora1	ENSMUSG00000042429	Gained
Asic4	ENSMUSG00000033007	Gained
Ces2b	ENSMUSG00000050097	Gained
Kif11	ENSMUSG00000012443	Gained
Ccdc171	ENSMUSG00000052407	Gained
Prr7	ENSMUSG00000034686	Gained
Mtus1	ENSMUSG00000045636	Gained
Nbl1	ENSMUSG00000041120	Gained
Pank4	ENSMUSG00000029056	Gained
Lrrc4	ENSMUSG00000049939	Gained
Ammecr1	ENSMUSG00000042225	Gained
Grm7	ENSMUSG00000056755	Gained
Unc119	ENSMUSG00000002058	Gained
Boc	ENSMUSG00000022687	Gained
Epha10	ENSMUSG00000028876	Gained
Rtn4rl1	ENSMUSG00000045287	Gained
Fezf2	ENSMUSG00000021743	Gained
Ubr4	ENSMUSG00000066036	Gained
Crp	ENSMUSG00000037942	Gained
Rab37	ENSMUSG00000020732	Gained
Ccng2	ENSMUSG00000029385	Gained
Camk2n1	ENSMUSG00000046447	Gained
Tle3	ENSMUSG00000032280	Gained
Psd2	ENSMUSG00000024347	Gained
Chil1	ENSMUSG00000064246	Gained
Vip	ENSMUSG00000019772	Gained
Tmcc2	ENSMUSG00000042066	Lost
Cyp26c1	ENSMUSG00000062432	Lost
Vopp1	ENSMUSG00000037788	Lost
Xrra1	ENSMUSG00000035211	Lost
Gzmm	ENSMUSG00000054206	Lost
Hk1	ENSMUSG00000037012	Lost
Pex5l	ENSMUSG00000027674	Lost
Aipl1	ENSMUSG00000040554	Lost
Pou4f3	ENSMUSG00000024497	Lost
Ubtd1	ENSMUSG00000025171	Lost
Grap2	ENSMUSG00000042351	Lost
Egflam	ENSMUSG00000042961	Lost
Rwdd2a	ENSMUSG00000032417	Lost
Acsl6	ENSMUSG00000020333	Lost
Vamp4	ENSMUSG00000026696	Lost
Hlf	ENSMUSG00000003949	Lost
Pea15a	ENSMUSG00000013698	Lost
Ccdc175	ENSMUSG00000021086	Lost
Gem	ENSMUSG00000028214	Lost
Pwwp2b	ENSMUSG00000110798	Lost
1700017B05Rik	ENSMUSG00000032300	Lost
Wrap53	ENSMUSG00000041346	Lost
Sptb	ENSMUSG00000021061	Lost
Nek6	ENSMUSG00000026749	Lost
Xkr7	ENSMUSG00000042631	Lost
Rimbp2	ENSMUSG00000029420	Lost
Tmem35a	ENSMUSG00000033578	Lost
Il17rd	ENSMUSG00000040717	Lost
Dll3	ENSMUSG00000003436	Lost
Sncb	ENSMUSG00000034891	Lost
Loxl1	ENSMUSG00000032334	Lost
Scarb1	ENSMUSG00000037936	Lost
Lmo1	ENSMUSG00000036111	Lost
Por	ENSMUSG00000005514	Lost
Kcnh6	ENSMUSG00000001901	Lost
Clmn	ENSMUSG00000021097	Lost
Pitpnm2	ENSMUSG00000029406	Lost
Extl1	ENSMUSG00000028838	Lost
Sun1	ENSMUSG00000036817	Lost
Tax1bp1	ENSMUSG00000004535	Lost
Ccdc155	ENSMUSG00000038292	Lost
P2rx7	ENSMUSG00000029468	Lost
Disp1	ENSMUSG00000030768	Lost
Lifr	ENSMUSG00000054263	Lost
Whrn	ENSMUSG00000039137	Lost
Nphp4	ENSMUSG00000039577	Lost
Jam3	ENSMUSG00000031990	Lost
Mindy4	ENSMUSG00000038022	Lost
Gucd1	ENSMUSG00000033416	Lost
Adamts15	ENSMUSG00000033453	Lost
Adrb1	ENSMUSG00000035283	Lost
Ppm1k	ENSMUSG00000037826	Lost
Slc31a2	ENSMUSG00000066152	Lost
Tmem86a	ENSMUSG00000010307	Lost
Nr2e3	ENSMUSG00000032292	Lost
Prkab1	ENSMUSG00000029513	Lost
E2f3	ENSMUSG00000016477	Lost
Snrk	ENSMUSG00000038145	Lost
Dnajb2	ENSMUSG00000026203	Lost
Abcg1	ENSMUSG00000024030	Lost
Camkk1	ENSMUSG00000020785	Lost
Atp8a2	ENSMUSG00000021983	Lost
Amigo2	ENSMUSG00000048218	Lost
Pcmtd2	ENSMUSG00000027589	Lost
Ptprn2	ENSMUSG00000056553	Lost
Rd3	ENSMUSG00000049353	Lost
Cox8b	ENSMUSG00000025488	Lost
