gene	GENEID	Name	rna_group
Grk1	ENSMUSG00000031450	G protein-coupled receptor kinase 1(Grk1)	Group1
Optn	ENSMUSG00000026672	optineurin(Optn)	Group1
Kirrel	ENSMUSG00000041734	kirre like nephrin family adhesion molecule 1(Kirrel)	Group1
Gngt1	ENSMUSG00000029663	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1(Gngt1)	Group1
Cplx4	ENSMUSG00000024519	complexin 4(Cplx4)	Group1
Abhd3	ENSMUSG00000002475	abhydrolase domain containing 3(Abhd3)	Group1
Frmpd1	ENSMUSG00000035615	FERM and PDZ domain containing 1(Frmpd1)	Group1
Slc24a1	ENSMUSG00000034452	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1(Slc24a1)	Group1
Dnah9	ENSMUSG00000056752	dynein, axonemal, heavy chain 9(Dnah9)	Group1
Arl4d	ENSMUSG00000034936	ADP-ribosylation factor-like 4D(Arl4d)	Group1
Nim1k	ENSMUSG00000095930	NIM1 serine/threonine protein kinase(Nim1k)	Group1
Grtp1	ENSMUSG00000038515	GH regulated TBC protein 1(Grtp1)	Group1
Plcd3	ENSMUSG00000020937	phospholipase C, delta 3(Plcd3)	Group1
Polg2	ENSMUSG00000020718	polymerase (DNA directed), gamma 2, accessory subunit(Polg2)	Group1
Dhrs3	ENSMUSG00000066026	dehydrogenase/reductase (SDR family) member 3(Dhrs3)	Group1
Plch2	ENSMUSG00000029055	phospholipase C, eta 2(Plch2)	Group1
Tnfsf12	ENSMUSG00000097328	tumor necrosis factor (ligand) superfamily, member 12(Tnfsf12)	Group1
Sntg2	ENSMUSG00000020672	syntrophin, gamma 2(Sntg2)	Group1
Klhl36	ENSMUSG00000031828	kelch-like 36(Klhl36)	Group1
Ndufaf5	ENSMUSG00000027384	NADH:ubiquinone oxidoreductase complex assembly factor 5(Ndufaf5)	Group1
Rangrf	ENSMUSG00000032892	RAN guanine nucleotide release factor(Rangrf)	Group1
Bicdl1	ENSMUSG00000041609	BICD family like cargo adaptor 1(Bicdl1)	Group1
Pfkfb2	ENSMUSG00000026409	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2(Pfkfb2)	Group1
Marveld3	ENSMUSG00000001672	MARVEL (membrane-associating) domain containing 3(Marveld3)	Group1
Ccdc24	ENSMUSG00000078588	coiled-coil domain containing 24(Ccdc24)	Group1
Arg2	ENSMUSG00000021125	arginase type II(Arg2)	Group1
Mkrn2os	ENSMUSG00000068011	makorin, ring finger protein 2, opposite strand(Mkrn2os)	Group1
Tnnt1	ENSMUSG00000064179	troponin T1, skeletal, slow(Tnnt1)	Group1
Ppp1r42	ENSMUSG00000025916	protein phosphatase 1, regulatory subunit 42(Ppp1r42)	Group1
Katnal2	ENSMUSG00000025420	katanin p60 subunit A-like 2(Katnal2)	Group1
Ptpru	ENSMUSG00000028909	protein tyrosine phosphatase, receptor type, U(Ptpru)	Group1
Gm17018	ENSMUSG00000041035	deleted in primary ciliary dyskinesia(Dpcd)	Group1
Tmem218	ENSMUSG00000032121	transmembrane protein 218(Tmem218)	Group1
Gnb5	ENSMUSG00000032192	guanine nucleotide binding protein (G protein), beta 5(Gnb5)	Group1
Fbxo27	ENSMUSG00000037463	F-box protein 27(Fbxo27)	Group1
Ttc39c	ENSMUSG00000024424	tetratricopeptide repeat domain 39C(Ttc39c)	Group1
Kif21b	ENSMUSG00000041642	kinesin family member 21B(Kif21b)	Group1
Ing2	ENSMUSG00000063049	inhibitor of growth family, member 2(Ing2)	Group1
Mgarp	ENSMUSG00000037161	mitochondria localized glutamic acid rich protein(Mgarp)	Group1
Ric8b	ENSMUSG00000035620	RIC8 guanine nucleotide exchange factor B(Ric8b)	Group1
Ybx3	ENSMUSG00000030189	Y box protein 3(Ybx3)	Group1
Mapk11	ENSMUSG00000053137	mitogen-activated protein kinase 11(Mapk11)	Group1
Zfyve28	ENSMUSG00000037224	zinc finger, FYVE domain containing 28(Zfyve28)	Group1
Cdr2	ENSMUSG00000030878	cerebellar degeneration-related 2(Cdr2)	Group1
Arl3	ENSMUSG00000025035	ADP-ribosylation factor-like 3(Arl3)	Group1
Pdia5	ENSMUSG00000022844	protein disulfide isomerase associated 5(Pdia5)	Group1
Bst1	ENSMUSG00000029082	bone marrow stromal cell antigen 1(Bst1)	Group1
Abca4	ENSMUSG00000028125	ATP-binding cassette, sub-family A (ABC1), member 4(Abca4)	Group1
Stk35	ENSMUSG00000037885	serine/threonine kinase 35(Stk35)	Group1
Klhl3	ENSMUSG00000014164	kelch-like 3(Klhl3)	Group1
Slc16a1	ENSMUSG00000032902	solute carrier family 16 (monocarboxylic acid transporters), member 1(Slc16a1)	Group1
Fam160a1	ENSMUSG00000051000	FHF complex subunit HOOK interacting protein 1A(Fhip1a)	Group1
St6galnac5	ENSMUSG00000039037	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5(St6galnac5)	Group1
Gpsm2	ENSMUSG00000027883	G-protein signalling modulator 2 (AGS3-like, C. elegans)(Gpsm2)	Group1
Drd4	ENSMUSG00000025496	dopamine receptor D4(Drd4)	Group1
Wdr78	ENSMUSG00000035126	dynein axonemal intermediate chain 4(Dnai4)	Group1
Rp1	ENSMUSG00000025900	retinitis pigmentosa 1 (human)(Rp1)	Group1
Syne2	ENSMUSG00000063450	spectrin repeat containing, nuclear envelope 2(Syne2)	Group1
Lrit3	ENSMUSG00000093865	leucine-rich repeat, immunoglobulin-like and transmembrane domains 3(Lrit3)	Group1
Rpgrip1	ENSMUSG00000057132	retinitis pigmentosa GTPase regulator interacting protein 1(Rpgrip1)	Group1
Pip4k2c	ENSMUSG00000025417	phosphatidylinositol-5-phosphate 4-kinase, type II, gamma(Pip4k2c)	Group1
Tube1	ENSMUSG00000019845	tubulin, epsilon 1(Tube1)	Group1
Hmgn1	ENSMUSG00000040681	high mobility group nucleosomal binding domain 1(Hmgn1)	Group1
Cep250	ENSMUSG00000038241	centrosomal protein 250(Cep250)	Group1
Crocc	ENSMUSG00000040860	ciliary rootlet coiled-coil, rootletin(Crocc)	Group1
Fam161a	ENSMUSG00000049811	family with sequence similarity 161, member A(Fam161a)	Group1
6430571L13Rik	ENSMUSG00000037977	RIKEN cDNA 6430571L13 gene(6430571L13Rik)	Group1
Btc	ENSMUSG00000082361	betacellulin, epidermal growth factor family member(Btc)	Group1
Gnb1	ENSMUSG00000029064	guanine nucleotide binding protein (G protein), beta 1(Gnb1)	Group1
Impdh1	ENSMUSG00000003500	inosine monophosphate dehydrogenase 1(Impdh1)	Group1
Gadd45a	ENSMUSG00000036390	growth arrest and DNA-damage-inducible 45 alpha(Gadd45a)	Group1
Spg7	ENSMUSG00000000738	SPG7, paraplegin matrix AAA peptidase subunit(Spg7)	Group1
Bbs5	ENSMUSG00000063145	Bardet-Biedl syndrome 5 (human)(Bbs5)	Group1
Tdrd7	ENSMUSG00000035517	tudor domain containing 7(Tdrd7)	Group1
Cngb1	ENSMUSG00000031789	cyclic nucleotide gated channel beta 1(Cngb1)	Group1
Icmt	ENSMUSG00000039662	isoprenylcysteine carboxyl methyltransferase(Icmt)	Group1
Rdh12	ENSMUSG00000021123	retinol dehydrogenase 12(Rdh12)	Group1
Kcnb1	ENSMUSG00000050556	potassium voltage gated channel, Shab-related subfamily, member 1(Kcnb1)	Group1
Pde6b	ENSMUSG00000029491	phosphodiesterase 6B, cGMP, rod receptor, beta polypeptide(Pde6b)	Group1
Slc17a7	ENSMUSG00000070570	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7(Slc17a7)	Group1
Rom1	ENSMUSG00000071648	rod outer segment membrane protein 1(Rom1)	Group1
Myo7a	ENSMUSG00000030761	myosin VIIA(Myo7a)	Group1
Gucy2e	ENSMUSG00000020890	guanylate cyclase 2e(Gucy2e)	Group1
Snta1	ENSMUSG00000027488	syntrophin, acidic 1(Snta1)	Group1
Paqr4	ENSMUSG00000023909	progestin and adipoQ receptor family member IV(Paqr4)	Group1
Ccdc126	ENSMUSG00000050786	coiled-coil domain containing 126(Ccdc126)	Group1
Zdhhc12	ENSMUSG00000015335	zinc finger, DHHC domain containing 12(Zdhhc12)	Group1
Tob2	ENSMUSG00000048546	transducer of ERBB2, 2(Tob2)	Group1
Fance	ENSMUSG00000007570	Fanconi anemia, complementation group E(Fance)	Group1
Nrl	ENSMUSG00000040632	neural retina leucine zipper gene(Nrl)	Group1
Lmbr1l	ENSMUSG00000022999	limb region 1 like(Lmbr1l)	Group1
Prr14	ENSMUSG00000030822	proline rich 14(Prr14)	Group1
Slc29a2	ENSMUSG00000024891	solute carrier family 29 (nucleoside transporters), member 2(Slc29a2)	Group1
Pde6g	ENSMUSG00000025386	phosphodiesterase 6G, cGMP-specific, rod, gamma(Pde6g)	Group1
Gpx4	ENSMUSG00000075706	glutathione peroxidase 4(Gpx4)	Group1
Sap30l	ENSMUSG00000020519	SAP30-like(Sap30l)	Group1
Cutal	ENSMUSG00000026870	cutA divalent cation tolerance homolog-like(Cutal)	Group1
Guk1	ENSMUSG00000020444	guanylate kinase 1(Guk1)	Group1
Vtn	ENSMUSG00000017344	vitronectin(Vtn)	Group1
Plekhg3	ENSMUSG00000052609	pleckstrin homology domain containing, family G (with RhoGef domain) member 3(Plekhg3)	Group1
Rabgef1	ENSMUSG00000025340	RAB guanine nucleotide exchange factor (GEF) 1(Rabgef1)	Group1
Plekhf2	ENSMUSG00000049969	pleckstrin homology domain containing, family F (with FYVE domain) member 2(Plekhf2)	Group1
Rad51	ENSMUSG00000027323	RAD51 recombinase(Rad51)	Group1
Exoc3l	ENSMUSG00000043251	exocyst complex component 3-like(Exoc3l)	Group1
Rdm1	ENSMUSG00000010362	RAD52 motif 1(Rdm1)	Group1
Hspa1b	ENSMUSG00000090877	heat shock protein 1B(Hspa1b)	Group1
Rtbdn	ENSMUSG00000048617	retbindin(Rtbdn)	Group1
Kpna2	ENSMUSG00000018362	karyopherin (importin) alpha 2(Kpna2)	Group1
Susd3	ENSMUSG00000021384	sushi domain containing 3(Susd3)	Group1
Fam57b	ENSMUSG00000058966	TLC domain containing 3B(Tlcd3b)	Group1
Scn4a	ENSMUSG00000001027	sodium channel, voltage-gated, type IV, alpha(Scn4a)	Group1
Proser2	ENSMUSG00000045319	proline and serine rich 2(Proser2)	Group1
Cnga1	ENSMUSG00000067220	cyclic nucleotide gated channel alpha 1(Cnga1)	Group1
