seqnames	start	end	width	chip.r90w.lfc	chip.r90w.fdr	chip_group	strand	gene	distTSS	peak.id	p21.rhom.lfc	p21.rhom.padj	rna_group
chr1	193370098	193370498	401	-2.917337449	6.85e-05	Lost	*	Camk1g	0.0	peak.614	-0.921983559268834	0.0339965216126272	No Change
chr1	71641458	71641858	401	-1.96957001	0.007179931	Lost	*	Fn1	11517.0	peak.162	0.131046805683139	0.650804205460933	No Change
chr1	10155883	10156283	401	-2.608792237	0.000187946	Lost	*	Arfgef1	76587.0	peak.19	-0.121289816121487	0.691930785841243	No Change
chr1	93523031	93523431	401	-2.008411466	0.005660708	Lost	*	Farp2	11152.0	peak.276	-0.362818315394284	0.0002154536742819	No Change
chr1	16053552	16053952	401	-2.674915993	0.000145777	Lost	*	4930444P10Rik	39573.0	peak.26	-0.0394573968836349	0.915034780988617	No Change
chr1	30833633	30834033	401	-1.422264981	0.03842128	Lost	*	Phf3	39748.0	peak.39	0.133761418404621	0.315366044874693	No Change
chr1	75317622	75318022	401	-1.476166912	0.036833688	Lost	*	Dnpep	-163.0	peak.189	-0.358614228569489	0.0014729333052019	No Change
chr1	72136099	72136499	401	-2.865727471	5.86e-06	Lost	*	Mreg	76008.0	peak.164	-0.967549014173076	2.71304475947546e-10	Lost
chr1	16104297	16104697	401	-2.805323317	0.000145072	Lost	*	Rpl7	165.0	peak.27	0.515828133359474	0.0444216648480757	No Change
chr1	119761493	119761893	401	-2.256264126	0.001409809	Lost	*	Ptpn4	75920.0	peak.301	-0.122159256197746	0.677103206694607	No Change
chr1	15805279	15805679	401	-2.321947892	0.001392955	Lost	*	Terf1	-167.0	peak.25	-0.31155633078011	0.0545518639318224	No Change
chr1	9748350	9748750	401	-2.227644675	0.002722297	Lost	*	Vcpip1	-168.0	peak.13	-0.0631832809179487	0.802909743187554	No Change
chr1	194619456	194619856	401	-2.74975193	0.000706021	Lost	*	Plxna2	-169.0	peak.617	-0.119133227119718	0.69445384224267	No Change
chr1	89464939	89465339	401	-2.62505588	0.000753992	Lost	*	Agap1	10333.0	peak.255	0.0508767267533898	0.870311100158367	No Change
chr1	150329545	150329945	401	-2.107043275	0.001357722	Lost	*	Pdc	10328.0	peak.413	-0.558137227278362	1.82377407895115e-08	No Change
chr1	84849948	84850348	401	-2.46281943	0.00042726	Lost	*	Fbxo36	10307.0	peak.234	-1.3709637160246	3.40028578509433e-08	Lost
chr1	131910181	131910581	401	-2.006832927	0.03371731	Lost	*	Nucks1	-175.0	peak.333	-0.0029347242526362	0.993949204389913	No Change
chr1	175692752	175693152	401	-2.416380947	0.000738596	Lost	*	Opn3	-176.0	peak.528	0.323008022381369	0.250242473074569	No Change
chr1	86487312	86487712	401	-2.072585051	0.003112903	Lost	*	Ptma	-39214.0	peak.240	-0.0429540512340438	0.910068403213556	No Change
chr1	132581952	132582352	401	-2.660202098	0.000209579	Lost	*	Cntn2	-39213.0	peak.340	-0.108895628086873	0.709803832659173	No Change
chr1	58723048	58723448	401	-2.314536945	0.000403552	Lost	*	Cflar	11688.0	peak.113	0.401279608950745	0.0001267194479998	No Change
chr1	65111261	65111661	401	-2.048960491	0.013683222	Lost	*	D630023F18Rik	11732.0	peak.146	-0.186653923576877	0.49643943051438	No Change
chr1	151357426	151357826	401	-3.074746125	1.55e-05	Lost	*	Ivns1abp	13149.0	peak.417	-0.391690036880987	0.0267497132135127	No Change
chr1	89893325	89893725	401	-2.260612925	0.002923914	Lost	*	Gbx2	37654.0	peak.260	0.070130928680235	0.828847331591552	No Change
chr1	133648028	133648428	401	-2.937883602	0.000486148	Lost	*	Snrpe	-37937.0	peak.349	0.0063283090536373	0.987458407054421	No Change
chr1	74816776	74817176	401	-1.526314532	0.039062467	Lost	*	Cdk5r2	-37958.0	peak.182	-0.301109307814111	0.0773587613714345	No Change
chr1	89918217	89918617	401	-3.331670011	0.00021065	Lost	*	Gbx2	12762.0	peak.262	0.070130928680235	0.828847331591552	No Change
chr1	178187205	178187605	401	-2.091338645	0.003116667	Lost	*	Desi2	-127.0	peak.542	-0.242095466180112	0.328208342357257	No Change
chr1	160713951	160714351	401	-2.618196995	0.000310391	Lost	*	Rabgap1l	78795.0	peak.459	-0.231059741329922	0.304154931995994	No Change
chr1	180863615	180864015	401	-3.100400583	3.67e-05	Lost	*	Sde2	12688.0	peak.560	0.156845066180732	0.287420421937922	No Change
chr1	177299516	177299916	401	-3.560409309	1.69e-06	Lost	*	Akt3	-41513.0	peak.537	-0.0400133140183846	0.901436437014834	No Change
chr1	53225631	53226031	401	-2.266839713	0.000734056	Lost	*	1700019A02Rik	-38195.0	peak.95	0.123035507485516	0.605949766349389	No Change
chr1	87432877	87433277	401	-2.87582542	0.000403853	Lost	*	Kcnj13	-38348.0	peak.247	0.133798409377182	0.647246352089867	No Change
chr1	171222449	171222849	401	-2.194195426	0.000950525	Lost	*	Tomm40l	-135.0	peak.507	-0.140896769689345	0.486283206097077	No Change
