label	seqnames	start	end	width	strand
wt_olap_1	chr1	4357578	4357978	401	*
wt_olap_2	chr1	4360133	4360533	401	*
wt_olap_3	chr1	4383639	4384039	401	*
wt_olap_4	chr1	4802426	4802826	401	*
wt_olap_5	chr1	4857484	4857884	401	*
wt_olap_6	chr1	4970580	4970980	401	*
wt_olap_7	chr1	5070152	5070552	401	*
wt_olap_8	chr1	9545121	9545521	401	*
wt_olap_9	chr1	9982079	9982479	401	*
wt_olap_10	chr1	10024763	10025163	401	*
wt_olap_11	chr1	13203753	13204153	401	*
wt_olap_12	chr1	13494995	13495395	401	*
wt_olap_13	chr1	15805279	15805679	401	*
wt_olap_14	chr1	16053552	16053952	401	*
wt_olap_15	chr1	16108868	16109268	401	*
wt_olap_16	chr1	24279977	24280377	401	*
wt_olap_17	chr1	24492050	24492450	401	*
wt_olap_18	chr1	34001143	34001543	401	*
wt_olap_19	chr1	34124410	34124810	401	*
wt_olap_20	chr1	34439515	34439915	401	*
wt_olap_21	chr1	34706406	34706806	401	*
wt_olap_22	chr1	34849335	34849735	401	*
wt_olap_23	chr1	34866817	34867217	401	*
wt_olap_24	chr1	36064931	36065331	401	*
wt_olap_25	chr1	36492459	36492859	401	*
wt_olap_26	chr1	36680882	36681282	401	*
wt_olap_27	chr1	36709941	36710341	401	*
wt_olap_28	chr1	37214204	37214604	401	*
wt_olap_29	chr1	37541629	37542029	401	*
wt_olap_30	chr1	39431766	39432166	401	*
wt_olap_31	chr1	39433895	39434295	401	*
wt_olap_32	chr1	39444995	39445395	401	*
wt_olap_33	chr1	39446186	39446586	401	*
wt_olap_34	chr1	39449852	39450252	401	*
wt_olap_35	chr1	39451998	39452398	401	*
wt_olap_36	chr1	39474088	39474488	401	*
wt_olap_37	chr1	39931989	39932389	401	*
wt_olap_38	chr1	40154788	40155188	401	*
wt_olap_39	chr1	43095105	43095505	401	*
wt_olap_40	chr1	44594000	44594400	401	*
wt_olap_41	chr1	44733521	44733921	401	*
wt_olap_42	chr1	45795211	45795611	401	*
wt_olap_43	chr1	51628106	51628506	401	*
wt_olap_44	chr1	52435735	52436135	401	*
wt_olap_45	chr1	53225631	53226031	401	*
wt_olap_46	chr1	53778483	53778883	401	*
wt_olap_47	chr1	54438445	54438845	401	*
wt_olap_48	chr1	54859860	54860260	401	*
wt_olap_49	chr1	55002268	55002668	401	*
wt_olap_50	chr1	55888639	55889039	401	*
wt_olap_51	chr1	58602471	58602871	401	*
wt_olap_52	chr1	58723048	58723448	401	*
wt_olap_53	chr1	59117452	59117852	401	*
wt_olap_54	chr1	59161469	59161869	401	*
wt_olap_55	chr1	59163483	59163883	401	*
wt_olap_56	chr1	59207886	59208286	401	*
wt_olap_57	chr1	60273851	60274251	401	*
wt_olap_58	chr1	60569724	60570124	401	*
wt_olap_59	chr1	61265804	61266204	401	*
wt_olap_60	chr1	62984663	62985063	401	*
wt_olap_61	chr1	63088868	63089268	401	*
wt_olap_62	chr1	63294031	63294431	401	*
wt_olap_63	chr1	64804178	64804578	401	*
wt_olap_64	chr1	65186296	65186696	401	*
wt_olap_65	chr1	66339695	66340095	401	*
wt_olap_66	chr1	66364370	66364770	401	*
wt_olap_67	chr1	66402636	66403036	401	*
wt_olap_68	chr1	66633463	66633863	401	*
wt_olap_69	chr1	66686387	66686787	401	*
wt_olap_70	chr1	66782409	66782809	401	*
wt_olap_71	chr1	66831216	66831616	401	*
wt_olap_72	chr1	69296796	69297196	401	*
wt_olap_73	chr1	72136099	72136499	401	*
wt_olap_74	chr1	72182521	72182921	401	*
wt_olap_75	chr1	72489968	72490368	401	*
wt_olap_76	chr1	72504551	72504951	401	*
wt_olap_77	chr1	72748529	72748929	401	*
wt_olap_78	chr1	73826185	73826585	401	*
wt_olap_79	chr1	74386842	74387242	401	*
wt_olap_80	chr1	74437711	74438111	401	*
wt_olap_81	chr1	74848625	74849025	401	*
wt_olap_82	chr1	74850986	74851386	401	*
wt_olap_83	chr1	74858889	74859289	401	*
wt_olap_84	chr1	75126859	75127259	401	*
wt_olap_85	chr1	75405543	75405943	401	*
wt_olap_86	chr1	75463760	75464160	401	*
wt_olap_87	chr1	75521259	75521659	401	*
wt_olap_88	chr1	75909359	75909759	401	*
wt_olap_89	chr1	76118812	76119212	401	*
wt_olap_90	chr1	76166507	76166907	401	*
wt_olap_91	chr1	76453197	76453597	401	*
wt_olap_92	chr1	77660462	77660862	401	*
wt_olap_93	chr1	78488926	78489326	401	*
wt_olap_94	chr1	78567427	78567827	401	*
wt_olap_95	chr1	80208782	80209182	401	*
wt_olap_96	chr1	80404003	80404403	401	*
wt_olap_97	chr1	80424651	80425051	401	*
wt_olap_98	chr1	80427504	80427904	401	*
wt_olap_99	chr1	82066204	82066604	401	*
wt_olap_100	chr1	82191650	82192050	401	*
wt_olap_101	chr1	82746448	82746848	401	*
wt_olap_102	chr1	83345077	83345477	401	*
wt_olap_103	chr1	83347972	83348372	401	*
wt_olap_104	chr1	83662109	83662509	401	*
wt_olap_105	chr1	84387510	84387910	401	*
wt_olap_106	chr1	84549729	84550129	401	*
wt_olap_107	chr1	84838074	84838474	401	*
wt_olap_108	chr1	84849948	84850348	401	*
wt_olap_109	chr1	86064163	86064563	401	*
wt_olap_110	chr1	86141087	86141487	401	*
wt_olap_111	chr1	86156596	86156996	401	*
wt_olap_112	chr1	86359277	86359677	401	*
wt_olap_113	chr1	86526350	86526750	401	*
wt_olap_114	chr1	86561787	86562187	401	*
wt_olap_115	chr1	86576742	86577142	401	*
wt_olap_116	chr1	87432877	87433277	401	*
wt_olap_117	chr1	87710875	87711275	401	*
wt_olap_118	chr1	89576625	89577025	401	*
wt_olap_119	chr1	89750943	89751343	401	*
wt_olap_120	chr1	89922818	89923218	401	*
wt_olap_121	chr1	90733916	90734316	401	*
wt_olap_122	chr1	92180355	92180755	401	*
wt_olap_123	chr1	93300220	93300620	401	*
wt_olap_124	chr1	93669951	93670351	401	*
wt_olap_125	chr1	93731831	93732231	401	*
wt_olap_126	chr1	93760153	93760553	401	*
wt_olap_127	chr1	94089150	94089550	401	*
wt_olap_128	chr1	97638194	97638594	401	*
wt_olap_129	chr1	97644428	97644828	401	*
wt_olap_130	chr1	104763353	104763753	401	*
wt_olap_131	chr1	104956989	104957389	401	*
wt_olap_132	chr1	105679336	105679736	401	*
wt_olap_133	chr1	106008148	106008548	401	*
wt_olap_134	chr1	106745089	106745489	401	*
wt_olap_135	chr1	118321525	118321925	401	*
wt_olap_136	chr1	118389149	118389549	401	*
wt_olap_137	chr1	118482437	118482837	401	*
wt_olap_138	chr1	119646333	119646733	401	*
wt_olap_139	chr1	119648843	119649243	401	*
wt_olap_140	chr1	120247458	120247858	401	*
wt_olap_141	chr1	125100590	125100990	401	*
wt_olap_142	chr1	126681708	126682108	401	*
wt_olap_143	chr1	126765340	126765740	401	*
wt_olap_144	chr1	128102619	128103019	401	*
wt_olap_145	chr1	130701916	130702316	401	*
wt_olap_146	chr1	130712302	130712702	401	*
wt_olap_147	chr1	130798725	130799125	401	*
wt_olap_148	chr1	131078687	131079087	401	*
wt_olap_149	chr1	131527526	131527926	401	*
wt_olap_150	chr1	132366907	132367307	401	*
wt_olap_151	chr1	132414008	132414408	401	*
wt_olap_152	chr1	132581952	132582352	401	*
wt_olap_153	chr1	132721272	132721672	401	*
wt_olap_154	chr1	133181072	133181472	401	*
wt_olap_155	chr1	133238851	133239251	401	*
wt_olap_156	chr1	134060887	134061287	401	*
wt_olap_157	chr1	134086851	134087251	401	*
wt_olap_158	chr1	134167498	134167898	401	*
wt_olap_159	chr1	134272844	134273244	401	*
wt_olap_160	chr1	134413170	134413570	401	*
wt_olap_161	chr1	134420950	134421350	401	*
wt_olap_162	chr1	134439563	134439963	401	*
wt_olap_163	chr1	134503008	134503408	401	*
wt_olap_164	chr1	134558481	134558881	401	*
wt_olap_165	chr1	134567510	134567910	401	*
wt_olap_166	chr1	134777980	134778380	401	*
wt_olap_167	chr1	135373230	135373630	401	*
wt_olap_168	chr1	135595227	135595627	401	*
wt_olap_169	chr1	135615703	135616103	401	*
wt_olap_170	chr1	135627750	135628150	401	*
wt_olap_171	chr1	136007156	136007556	401	*
