label	seqnames	start	end	width	strand
e80a_olap_1	chr1	4357578	4357978	401	*
e80a_olap_2	chr1	4358409	4358809	401	*
e80a_olap_3	chr1	4360133	4360533	401	*
e80a_olap_4	chr1	4383639	4384039	401	*
e80a_olap_5	chr1	4857484	4857884	401	*
e80a_olap_6	chr1	4904619	4905019	401	*
e80a_olap_7	chr1	4908211	4908611	401	*
e80a_olap_8	chr1	4970580	4970980	401	*
e80a_olap_9	chr1	5070152	5070552	401	*
e80a_olap_10	chr1	7397415	7397815	401	*
e80a_olap_11	chr1	9545121	9545521	401	*
e80a_olap_12	chr1	9748350	9748750	401	*
e80a_olap_13	chr1	9944026	9944426	401	*
e80a_olap_14	chr1	10008981	10009381	401	*
e80a_olap_15	chr1	10024763	10025163	401	*
e80a_olap_16	chr1	10037998	10038398	401	*
e80a_olap_17	chr1	10155883	10156283	401	*
e80a_olap_18	chr1	10228928	10229328	401	*
e80a_olap_19	chr1	13200240	13200640	401	*
e80a_olap_20	chr1	13203753	13204153	401	*
e80a_olap_21	chr1	13372362	13372762	401	*
e80a_olap_22	chr1	13494995	13495395	401	*
e80a_olap_23	chr1	15805279	15805679	401	*
e80a_olap_24	chr1	16104297	16104697	401	*
e80a_olap_25	chr1	16108868	16109268	401	*
e80a_olap_26	chr1	16656920	16657320	401	*
e80a_olap_27	chr1	17100322	17100722	401	*
e80a_olap_28	chr1	19900071	19900471	401	*
e80a_olap_29	chr1	23825449	23825849	401	*
e80a_olap_30	chr1	24005550	24005950	401	*
e80a_olap_31	chr1	24279977	24280377	401	*
e80a_olap_32	chr1	24492050	24492450	401	*
e80a_olap_33	chr1	24759023	24759423	401	*
e80a_olap_34	chr1	30833633	30834033	401	*
e80a_olap_35	chr1	33527499	33527899	401	*
e80a_olap_36	chr1	34001143	34001543	401	*
e80a_olap_37	chr1	34120728	34121128	401	*
e80a_olap_38	chr1	34124410	34124810	401	*
e80a_olap_39	chr1	34211742	34212142	401	*
e80a_olap_40	chr1	34439515	34439915	401	*
e80a_olap_41	chr1	34739922	34740322	401	*
e80a_olap_42	chr1	34849335	34849735	401	*
e80a_olap_43	chr1	34851248	34851648	401	*
e80a_olap_44	chr1	34866817	34867217	401	*
e80a_olap_45	chr1	36064931	36065331	401	*
e80a_olap_46	chr1	36244198	36244598	401	*
e80a_olap_47	chr1	36476191	36476591	401	*
e80a_olap_48	chr1	36492459	36492859	401	*
e80a_olap_49	chr1	36523577	36523977	401	*
e80a_olap_50	chr1	36547134	36547534	401	*
e80a_olap_51	chr1	36674801	36675201	401	*
e80a_olap_52	chr1	36680882	36681282	401	*
