seqnames	start	end	width	strand	gene	distTSS	peak.id
chr1	4357578	4357978	401	*	Xkr4	-686280	peak.1
chr1	4357578	4357978	401	*	Rp1	2536	peak.1
chr1	4358409	4358809	401	*	Xkr4	-687111	peak.2
chr1	4358409	4358809	401	*	Rp1	1705	peak.2
chr1	4360133	4360533	401	*	Rp1	-19	peak.3
chr1	4383639	4384039	401	*	Rp1	-23525	peak.4
chr1	4383639	4384039	401	*	Sox17	112574	peak.4
chr1	4802426	4802826	401	*	Mrpl15	-16887	peak.5
chr1	4802426	4802826	401	*	Lypla1	-5197	peak.5
chr1	4857484	4857884	401	*	Tcea1	-354	peak.6
chr1	4904619	4905019	401	*	Tcea1	46781	peak.7
chr1	4904619	4905019	401	*	Rgs20	165466	peak.7
chr1	4908211	4908611	401	*	Tcea1	50373	peak.8
chr1	4908211	4908611	401	*	Rgs20	161874	peak.8
chr1	4970580	4970980	401	*	Rgs20	99505	peak.9
chr1	4970580	4970980	401	*	Tcea1	112742	peak.9
chr1	5070152	5070552	401	*	Rgs20	-67	peak.10
chr1	7397415	7397815	401	*	Pcmtd1	308695	peak.11
chr1	9545121	9545521	401	*	Adhfe1	-2627	peak.12
chr1	9545121	9545521	401	*	Rrs1	-87	peak.12
chr1	9748350	9748750	401	*	Vcpip1	-168	peak.13
chr1	9944026	9944426	401	*	Tcf24	23706	peak.14
chr1	9944026	9944426	401	*	Mcmdc2	35588	peak.14
chr1	9982079	9982479	401	*	Tcf24	-14347	peak.15
chr1	9982079	9982479	401	*	Ppp1r42	26857	peak.15
chr1	10008981	10009381	401	*	Ppp1r42	-45	peak.16
chr1	10024763	10025163	401	*	Ppp1r42	-15827	peak.17
chr1	10024763	10025163	401	*	Cops5	13164	peak.17
chr1	10037998	10038398	401	*	Cops5	-71	peak.18
chr1	10037998	10038398	401	*	Cspp1	-19	peak.18
chr1	10155883	10156283	401	*	Arfgef1	76587	peak.19
chr1	10155883	10156283	401	*	Cspp1	117866	peak.19
chr1	10228928	10229328	401	*	Arfgef1	3542	peak.20
chr1	10228928	10229328	401	*	Cspp1	190911	peak.20
chr1	13200240	13200640	401	*	Prdm14	-73277	peak.21
chr1	13200240	13200640	401	*	Ncoa2	173643	peak.21
chr1	13203753	13204153	401	*	Prdm14	-76790	peak.22
chr1	13203753	13204153	401	*	Ncoa2	170130	peak.22
chr1	13372362	13372762	401	*	Prdm14	-245399	peak.23
chr1	13372362	13372762	401	*	Ncoa2	1521	peak.23
chr1	13494995	13495395	401	*	Ncoa2	-121112	peak.24
chr1	13494995	13495395	401	*	Tram1	94715	peak.24
chr1	15805279	15805679	401	*	Terf1	-167	peak.25
chr1	16053552	16053952	401	*	Sbspon	-161030	peak.26
chr1	16053552	16053952	401	*	4930444P10Rik	39573	peak.26
chr1	16104297	16104697	401	*	Rdh10	-1277	peak.27
chr1	16104297	16104697	401	*	Rpl7	165	peak.27
chr1	16108868	16109268	401	*	Rpl7	-4406	peak.28
chr1	16108868	16109268	401	*	Rdh10	3294	peak.28
chr1	16229526	16229926	401	*	Rdh10	123952	peak.29
chr1	16229526	16229926	401	*	Stau2	289580	peak.29
chr1	16656920	16657320	401	*	Eloc	-82	peak.30
chr1	17100322	17100722	401	*	Jph1	-2633	peak.31
chr1	19615829	19616229	401	*	Tfap2b	407115	peak.32
chr1	19900071	19900471	401	*	Tfap2b	691357	peak.33
chr1	19900071	19900471	401	*	Pkhd1	717793	peak.33
chr1	23825449	23825849	401	*	B3gat2	63723	peak.34
chr1	23825449	23825849	401	*	Smap1	96668	peak.34
chr1	24005550	24005950	401	*	Sdhaf4	-94	peak.35
chr1	24279977	24280377	401	*	Col9a1	102567	peak.36
chr1	24279977	24280377	401	*	Col19a1	307295	peak.36
chr1	24492050	24492450	401	*	Col19a1	95222	peak.37
chr1	24492050	24492450	401	*	Col9a1	314640	peak.37
chr1	24759023	24759423	401	*	Lmbrd1	80593	peak.38
chr1	30833633	30834033	401	*	Phf3	39748	peak.39
chr1	33527499	33527899	401	*	Gm5415	-980405	peak.40
chr1	33527499	33527899	401	*	Prim2	142096	peak.40
chr1	33889991	33890391	401	*	Zfp451	-75664	peak.41
chr1	33889991	33890391	401	*	Bend6	17625	peak.41
chr1	34001143	34001543	401	*	Dst	93118	peak.42
chr1	34001143	34001543	401	*	Ccdc115	438329	peak.42
chr1	34120728	34121128	401	*	Dst	212703	peak.43
chr1	34120728	34121128	401	*	Ccdc115	318744	peak.43
chr1	34124410	34124810	401	*	Dst	216385	peak.44
chr1	34124410	34124810	401	*	Ccdc115	315062	peak.44
chr1	34211742	34212142	401	*	Ccdc115	227730	peak.45
chr1	34211742	34212142	401	*	Dst	303717	peak.45
chr1	34439515	34439915	401	*	Imp4	-136	peak.46
chr1	34439515	34439915	401	*	Ccdc115	-43	peak.46
chr1	34706406	34706806	401	*	Arhgef4	-95098	peak.47
chr1	34706406	34706806	401	*	Amer3	126949	peak.47
chr1	34739922	34740322	401	*	Arhgef4	-61582	peak.48
chr1	34739922	34740322	401	*	Amer3	160465	peak.48
chr1	34849335	34849735	401	*	Plekhb2	-457	peak.49
chr1	34851248	34851648	401	*	Plekhb2	1456	peak.50
chr1	34866817	34867217	401	*	Plekhb2	17025	peak.51
chr1	36064931	36065331	401	*	Hs6st1	-3269	peak.52
chr1	36244198	36244598	401	*	Uggt1	-93	peak.53
chr1	36476191	36476591	401	*	Cnnm3	-35476	peak.54
chr1	36476191	36476591	401	*	Cnnm4	4771	peak.54
chr1	36492459	36492859	401	*	Cnnm3	-19208	peak.55
chr1	36492459	36492859	401	*	Cnnm4	21039	peak.55
chr1	36523577	36523977	401	*	Cnnm3	11910	peak.56
chr1	36523577	36523977	401	*	Ankrd23	11962	peak.56
chr1	36547134	36547534	401	*	Ankrd39	111	peak.57
chr1	36674801	36675201	401	*	Sema4c	-117475	peak.58
chr1	36674801	36675201	401	*	Fam178b	8182	peak.58
chr1	36680882	36681282	401	*	Sema4c	-123556	peak.59
chr1	36680882	36681282	401	*	Fam178b	2101	peak.59
chr1	36709941	36710341	401	*	4933424G06Rik	-4397	peak.60
chr1	36709941	36710341	401	*	Actr1b	-133	peak.60
chr1	37214204	37214604	401	*	Cnga3	-3975	peak.61
chr1	37218918	37219318	401	*	Cnga3	739	peak.62
chr1	37541629	37542029	401	*	Mgat4a	-813	peak.63
chr1	37997113	37997513	401	*	Eif5b	-697	peak.64
chr1	37997113	37997513	401	*	Txndc9	2	peak.64
chr1	38562189	38562589	401	*	Rev1	-432727	peak.65
chr1	38562189	38562589	401	*	Aff3	64796	peak.65
chr1	38584306	38584706	401	*	Rev1	-454844	peak.66
chr1	38584306	38584706	401	*	Aff3	42679	peak.66
chr1	38596114	38596514	401	*	Rev1	-466652	peak.67
chr1	38596114	38596514	401	*	Aff3	30871	peak.67
chr1	39431766	39432166	401	*	Tbc1d8	46789	peak.68
chr1	39431766	39432166	401	*	Rpl31	64124	peak.68
chr1	39433895	39434295	401	*	Tbc1d8	44660	peak.69
chr1	39433895	39434295	401	*	Rpl31	66253	peak.69
chr1	39444995	39445395	401	*	Tbc1d8	33560	peak.70
chr1	39444995	39445395	401	*	Rpl31	77353	peak.70
chr1	39446186	39446586	401	*	Tbc1d8	32369	peak.71
chr1	39446186	39446586	401	*	Rpl31	78544	peak.71
chr1	39449852	39450252	401	*	Tbc1d8	28703	peak.72
chr1	39449852	39450252	401	*	Rpl31	82210	peak.72
chr1	39451998	39452398	401	*	Tbc1d8	26557	peak.73
chr1	39451998	39452398	401	*	Rpl31	84356	peak.73
chr1	39474088	39474488	401	*	Tbc1d8	4467	peak.74
chr1	39474088	39474488	401	*	Rpl31	106446	peak.74
chr1	39476904	39477304	401	*	Tbc1d8	1651	peak.75
chr1	39476904	39477304	401	*	Rpl31	109262	peak.75
chr1	39931989	39932389	401	*	Il1r2	-152509	peak.76
chr1	39931989	39932389	401	*	Map4k4	31010	peak.76
chr1	39963837	39964237	401	*	Il1r2	-120661	peak.77
chr1	39963837	39964237	401	*	Map4k4	62858	peak.77
chr1	40154788	40155188	401	*	Il1r1	-70092	peak.78
chr1	40154788	40155188	401	*	Il1r2	70290	peak.78
chr1	43095105	43095505	401	*	AI597479	-3405	peak.79
chr1	43095105	43095505	401	*	Tgfbrap1	3317	peak.79
chr1	43098077	43098477	401	*	AI597479	-433	peak.80
chr1	43098077	43098477	401	*	Tgfbrap1	345	peak.80
chr1	44594000	44594400	401	*	Col3a1	-717338	peak.81
chr1	44594000	44594400	401	*	Gulp1	42689	peak.81
chr1	44733521	44733921	401	*	Col3a1	-577817	peak.82
chr1	44733521	44733921	401	*	Gulp1	182210	peak.82
chr1	45795211	45795611	401	*	Wdr75	245	peak.83
chr1	45822025	45822425	401	*	Wdr75	27059	peak.84
chr1	45822025	45822425	401	*	Gm5269	67853	peak.84
chr1	46153031	46153431	401	*	Dnah7c	-272361	peak.85
